HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB31923	-11419.3343	20772.1674	-4.286517314	6.87E-05	0.02217573	-4.595119197
HMDB00872	-105595.6073	214789.2928	-3.790934814	0.000357125	0.057675734	-4.59511932
HMDB00161	147423.8683	1015446.518	3.562412407	0.000738261	0.079486055	-4.595119376
HMDB11532	-14760.12081	56377.95161	-3.449903102	0.001046336	0.080219723	-4.595119403
HMDB00714	-296546.3516	681871.0519	-3.353508085	0.001403892	0.080219723	-4.595119426
HMDB00152	-36364.83496	62065.44194	-3.33376893	0.00149015	0.080219723	-4.59511943
HMDB00671	-84115.76138	400519.9293	-3.270565187	0.001801253	0.083114981	-4.595119445
HMDB02203	-50882.86349	170386.1852	-3.045240583	0.003481768	0.140576402	-4.595119498
HMDB00182	447917.6911	5191700.498	2.920233714	0.004959555	0.166520425	-4.595119526
HMDB00222	91572.63373	643314.553	2.860826169	0.005849517	0.166520425	-4.595119539
HMDB02320	-25064.84738	106796.2058	-2.857556826	0.005902542	0.166520425	-4.59511954
HMDB61116	-639443.2393	1078910.571	-2.840496863	0.006186517	0.166520425	-4.595119543
HMDB00289	4194058.242	36984349.68	2.738236962	0.008170071	0.202994845	-4.595119566
HMDB11621	-20996.03111	32287.89117	-2.710493359	0.008800998	0.203051601	-4.595119572
HMDB03073	142948.8006	424530.6369	2.553867219	0.013277898	0.275803916	-4.595119605
HMDB13324	171517.6128	670957.042	2.542785736	0.013662113	0.275803916	-4.595119607
HMDB11753	-12571.57782	92473.61358	-2.50936771	0.014882524	0.282767954	-4.595119614
HMDB00094	-2478730.281	30011678.72	-2.458975281	0.01690966	0.303434454	-4.595119624
HMDB0011635	-4972809.193	15462662.74	-2.360750096	0.021588457	0.336625257	-4.595119644
HMDB03374	195016.2225	2020690.096	2.359306187	0.021665117	0.336625257	-4.595119644
HMDB13164	155536.2593	262801.2958	2.354210435	0.021937604	0.336625257	-4.595119645
HMDB00430	-49086.48147	347658.102	-2.336152016	0.022928036	0.336625257	-4.595119649
HMDB00623	-58286.5769	124292.793	-2.247862118	0.028366112	0.385558931	-4.595119666
HMDB02329	-54248.87516	174355.1881	-2.243702816	0.028648342	0.385558931	-4.595119667
HMDB00148	12988.12511	62851.91295	2.191139167	0.032434578	0.419054745	-4.595119677
HMDB00782	-10572.57159	91736.83579	-2.104331558	0.039653592	0.480276279	-4.595119693
HMDB0000619	-249566.2578	346069.3406	-2.098917806	0.040146934	0.480276279	-4.595119694
HMDB00562	-6580988.594	80664064.8	-2.048183968	0.045035488	0.51951652	-4.595119703
HMDB00779	-11766.60201	62337.84155	-1.987781589	0.051519539	0.54914786	-4.595119714
HMDB11474	24885.99083	78465.21236	1.980665872	0.052333783	0.54914786	-4.595119715
HMDB11532	-5442.818255	15786.0278	-1.977456769	0.052704593	0.54914786	-4.595119715
HMDB12458	42671.08563	405042.3254	1.954013182	0.055482424	0.554777772	-4.59511972
HMDB01383	-8189.158474	43398.18163	-1.933879937	0.05796698	0.554777772	-4.595119723
HMDB06461	61466.80298	417422.2805	1.930465126	0.05839766	0.554777772	-4.595119724
HMDB60485	-45179.74386	117442.6439	-1.900456577	0.062300945	0.574948726	-4.595119729
HMDB00670	247792.4838	1448866.948	1.877422374	0.065445272	0.575905503	-4.595119733
HMDB00782	31153.45328	282950.6552	1.873665755	0.065970599	0.575905503	-4.595119733
HMDB00097	697332.9509	11635017.96	1.847117124	0.06978568	0.593178284	-4.595119738
HMDB00421	-51217.99533	139539.7815	-1.832358601	0.071985714	0.596189379	-4.59511974
HMDB00730	-377295.7734	982818.4984	-1.814700163	0.074694316	0.597597762	-4.595119743
HMDB60015	671734.8321	2135737.321	1.798095215	0.077318724	0.597597762	-4.595119746
HMDB03869	7175.581497	63378.46643	1.774674965	0.081150902	0.597597762	-4.595119749
HMDB60038	141311.9514	869097.0643	1.774221658	0.081226608	0.597597762	-4.59511975
HMDB11477	628982.6271	4573301.709	1.77087094	0.081788032	0.597597762	-4.59511975
HMDB00943	-212410.3688	2407129.241	-1.735472726	0.087918662	0.597597762	-4.595119756
HMDB29412	-460587.2364	785004.5613	-1.718655912	0.090961733	0.597597762	-4.595119758
HMDB01847	994317.5145	3818701.557	1.713757895	0.091864215	0.597597762	-4.595119759
HMDB0000518	138419.9714	482897.5623	1.711782128	0.092230342	0.597597762	-4.595119759
HMDB0000518	345167.0544	465038.7276	1.70358565	0.093762081	0.597597762	-4.595119761
HMDB00292	101096.2269	1043289.068	1.701629153	0.094130784	0.597597762	-4.595119761
HMDB00510	20973.63911	120313.3898	1.691932728	0.095975719	0.597597762	-4.595119762
HMDB06344	-174739.2653	846476.1065	-1.684005571	0.097505982	0.597597762	-4.595119764
HMDB00884	-93777.80343	1315278.483	-1.664952392	0.101265931	0.597597762	-4.595119767
HMDB05060	176610.247	1219216.118	1.653959572	0.103488608	0.597597762	-4.595119768
HMDB00269	22485.79736	264429.775	1.651993091	0.103890381	0.597597762	-4.595119769
HMDB02212	-40199.58348	190792.9322	-1.643938701	0.105549268	0.597597762	-4.59511977
HMDB00848	16731.15923	126970.5918	1.630722484	0.108317937	0.597597762	-4.595119772
HMDB00622	-18836.5804	202170.9034	-1.617780504	0.111086003	0.597597762	-4.595119774
HMDB00929	649800.7688	11944967.71	1.613805126	0.111947676	0.597597762	-4.595119774
HMDB00479	-118661.3932	447658.1045	-1.603014886	0.114313771	0.597597762	-4.595119776
HMDB11496	386918.779	2469983.755	1.602129203	0.114509764	0.597597762	-4.595119776
HMDB00517	1011988.385	17484937.45	1.592764517	0.11659872	0.597597762	-4.595119777
HMDB00421	-109961.1796	223199.6302	-1.589203274	0.117401132	0.597597762	-4.595119778
HMDB00673	524185.8335	3885609.033	1.582199801	0.118992105	0.597597762	-4.595119779
HMDB11531	-6613.072534	19336.67222	-1.569271367	0.121974549	0.597597762	-4.595119781
HMDB13622	57006.63047	376908.7081	1.568691289	0.122109759	0.597597762	-4.595119781
HMDB11484	29941.535	196372.2471	1.558598758	0.12448151	0.600112356	-4.595119782
HMDB00696	133694.7935	2073442.461	1.533630363	0.130507594	0.607591908	-4.595119786
HMDB00207	612050.3631	4673805.38	1.532833302	0.130703722	0.607591908	-4.595119786
HMDB00054	930608.2127	2428303.084	1.518659475	0.134230712	0.607591908	-4.595119788
HMDB02931	27501.69908	698513.3048	1.514499987	0.135279959	0.607591908	-4.595119789
HMDB31057	42067.42676	643841.6582	1.505388134	0.137601168	0.607591908	-4.59511979
HMDB10391	-36625.48734	243745.2669	-1.500230213	0.138929026	0.607591908	-4.595119791
HMDB00167	97334.44897	1720321.037	1.499180024	0.139200623	0.607591908	-4.595119791
HMDB61714	4369.180154	24218.42715	1.460118394	0.149603571	0.644292714	-4.595119796
HMDB33433	-334709.7654	678154.6109	-1.443934437	0.154088082	0.646624449	-4.595119798
HMDB13325	19929.6088	66194.49795	1.443587998	0.154185213	0.646624449	-4.595119798
HMDB00296	-1003132.43	16655944.09	-1.425602736	0.159293543	0.646624449	-4.595119801
HMDB10390	-11471.23533	76548.27459	-1.419909407	0.160937698	0.646624449	-4.595119802
HMDB03818	569236.7771	2422167.86	1.419249053	0.161129247	0.646624449	-4.595119802
HMDB00663	-39215.60075	229930.0001	-1.415717671	0.162156595	0.646624449	-4.595119802
HMDB00682	3560056.97	22695327.38	1.394611776	0.168402732	0.66081987	-4.595119805
HMDB11490	-14319.09655	135532.9332	-1.379104469	0.173108874	0.66081987	-4.595119807
HMDB02925	156145.1447	1587458.567	1.378469434	0.173303722	0.66081987	-4.595119807
HMDB11152	-17730.21364	132975.0206	-1.370936666	0.175627848	0.66081987	-4.595119808
HMDB02366	-2601.37144	10982.99271	-1.369911937	0.175945848	0.66081987	-4.595119808
HMDB10407	-95676.37484	1218864.88	-1.349172148	0.182476964	0.671283984	-4.595119811
HMDB02038	555856.8875	2205279.465	1.347884311	0.182888516	0.671283984	-4.595119811
HMDB60061	-14985.51772	151049.7129	-1.33974868	0.18550473	0.67294682	-4.595119812
HMDB0000243	704294.6829	5682328.823	1.33357654	0.187508402	0.67294682	-4.595119813
HMDB00156	-90258.24412	1297653.116	-1.318174047	0.192579961	0.683553049	-4.595119815
HMDB02994|HMDB04136	-109079.5722	167536.541	-1.305216531	0.196925994	0.69138148	-4.595119816
HMDB00824	366899.6257	2099216.466	1.295264653	0.200313625	0.693174509	-4.595119818
HMDB00791	1927661.91	4862097.912	1.291144589	0.201728804	0.693174509	-4.595119818
HMDB00888	-3368.566657	11718.41252	-1.268771992	0.209544193	0.70070442	-4.595119821
HMDB00725	17374.96042	170675.1913	1.255830203	0.214166643	0.70070442	-4.595119822
HMDB02829	-17391.34469	93361.65222	-1.253876866	0.214870824	0.70070442	-4.595119823
HMDB01539	90970.34662	2596276.425	1.250250814	0.216182557	0.70070442	-4.595119823
HMDB00792	-3437.460654	12523.11172	-1.24899826	0.216637043	0.70070442	-4.595119823
HMDB13331	84963.24504	340942.6377	1.240650129	0.219684167	0.70070442	-4.595119824
HMDB29159	-145476.2301	1794339.39	-1.236602752	0.221172795	0.70070442	-4.595119825
HMDB06695	-27152.31061	304574.2774	-1.236325389	0.22127508	0.70070442	-4.595119825
HMDB01032	756708.4052	4015907.465	1.227013091	0.224729454	0.704734113	-4.595119826
HMDB13205	178644.0826	591771.677	1.216648211	0.228620573	0.709526146	-4.595119827
HMDB00064	89201.72345	650232.2067	1.205227027	0.232964975	0.709526146	-4.595119828
HMDB12088	279033.0435	3218588.186	1.202563738	0.233986622	0.709526146	-4.595119829
HMDB06322	9113.693473	66188.09619	1.19738629	0.23598202	0.709526146	-4.595119829
HMDB10401	-34484.89787	219100.6854	-1.194136102	0.237240941	0.709526146	-4.59511983
HMDB02000	35485.35902	228031.4663	1.179551608	0.242949995	0.713311591	-4.595119831
HMDB00715	-2103.635966	18329.50918	-1.177498266	0.243761661	0.713311591	-4.595119831
HMDB05066	52144.19909	317261.4612	1.169062814	0.247116607	0.713311591	-4.595119832
HMDB61112	-2069261.004	7175989.715	-1.168503457	0.247340242	0.713311591	-4.595119833
HMDB01931	14391.38494	50639.46615	1.140996929	0.258517354	0.735309921	-4.595119836
HMDB10383	648048.6768	5882375.851	1.13497318	0.261012286	0.735309921	-4.595119836
HMDB59724	-1830465.729	3191715.35	-1.125206312	0.265093764	0.735309921	-4.595119837
HMDB02759	1398562.692	7819695.369	1.124438264	0.265416626	0.735309921	-4.595119837
HMDB01032	2618839.798	16687513.19	1.122220046	0.266350653	0.735309921	-4.595119838
HMDB02013	-29352.24328	276014.895	-1.08571157	0.282057249	0.763642271	-4.595119841
HMDB61690	66532.88304	651104.4588	1.072370906	0.287954336	0.763642271	-4.595119843
HMDB00305	54641.56738	760101.2928	1.067322784	0.290207893	0.763642271	-4.595119843
HMDB00774	37654.03135	198157.0006	1.063637649	0.291860662	0.763642271	-4.595119844
HMDB00001	-129199.9955	1912130.961	-1.059630072	0.293665396	0.763642271	-4.595119844
HMDB05065	34965.6579	577595.0461	1.058673966	0.294097093	0.763642271	-4.595119844
HMDB00656	-23858.83852	208739.292	-1.055185346	0.295675956	0.763642271	-4.595119845
HMDB12342	-6207.82689	26935.99688	-1.054707844	0.295892514	0.763642271	-4.595119845
HMDB03869	8132.113971	159590.9858	1.050311631	0.297891412	0.763642271	-4.595119845
