	logFC	AveExpr	t	P.Value	adj.P.Val	B
PLTP	-0.458492095	-1.778074625	-3.710228402	0.000449205	0.105102815	-0.102568709
APOC4	0.62396065	-2.633397611	3.57283003	0.000696045	0.105102815	-0.481344708
APOD	-0.292288547	3.185308932	-3.305850994	0.001588031	0.14269693	-1.19129016
PRG4	0.469836969	-2.620474914	3.24795346	0.001890026	0.14269693	-1.340440309
CFH	0.213652654	5.312181514	3.115393954	0.002796795	0.168926438	-1.675111008
SERPIND1	0.197878295	3.288411159	2.957841966	0.0044003	0.221481782	-2.060042042
HP	0.388566877	7.029935502	2.716173956	0.008576347	0.298496012	-2.621791465
BCHE	0.282616788	-1.239926492	2.685794437	0.009303838	0.298496012	-2.689839978
F10	0.270514966	0.349085501	2.613475708	0.011267978	0.298496012	-2.849444401
PRG4.1	0.474751353	-2.06018738	2.600477098	0.011658652	0.298496012	-2.877771663
APOA1	-0.300608273	8.373270513	-2.5972723	0.011756845	0.298496012	-2.884738729
APOF	-0.268810958	-1.13015018	-2.565133975	0.012783916	0.298496012	-2.954232241
LRG1	-0.245286637	3.073571496	-2.543644821	0.013515353	0.298496012	-3.00031783
VTN	0.189583632	4.864597355	2.534510983	0.013837563	0.298496012	-3.01981325
SHBG	-0.522259366	-1.226961452	-2.364925848	0.021224001	0.427309884	-3.371522211
NPHP3	0.346620542	-3.674916332	2.273512665	0.026520963	0.500583168	-3.552844016
IL1RAP.1	-0.301883994	-4.773590219	-2.178407608	0.033242593	0.560178265	-3.735162254
BTD	0.185816047	-2.235763401	2.176543084	0.033388108	0.560178265	-3.738671131
C1QB	0.163770865	0.756305079	2.123307891	0.037785045	0.600583349	-3.837781099
PCOLCE	0.169790175	-5.198482424	2.086071105	0.041153111	0.608429732	-3.905863864
C4A	-0.401751569	-4.390255101	-2.07391127	0.042308028	0.608429732	-3.927873382
LPA	-1.074177613	-0.398896083	-2.0077233	0.049099125	0.608712028	-4.045731446
GSN	-0.165977771	3.052075161	-2.000911385	0.049848572	0.608712028	-4.057673633
KNG1_2	0.311470495	-4.891850992	1.991998133	0.050844035	0.608712028	-4.073246583
MASP1	0.257895411	-2.239017322	1.991973205	0.050846843	0.608712028	-4.073290052
PON1	-0.191781136	3.513542264	-1.978312628	0.052405671	0.608712028	-4.097039925
INHBC	0.186973506	-5.528533332	1.960668224	0.054479544	0.609363784	-4.127505457
FCN3	0.256166782	0.349937419	1.916314169	0.06000477	0.615641171	-4.203035447
C5	0.096933745	3.561036741	1.883744819	0.064359004	0.615641171	-4.257531397
HV169	0.485969288	-4.449222612	1.879468602	0.064950078	0.615641171	-4.264625398
IL1RAP	-0.212074788	-4.872510052	-1.875014239	0.065570649	0.615641171	-4.271999817
PROS1	0.139683132	1.989634471	1.849966567	0.06915421	0.615641171	-4.313179564
TYMP	0.401840677	-3.555226531	1.846581827	0.069650881	0.615641171	-4.318706685
MGP	0.203458759	-5.172595095	1.835269936	0.071332589	0.615641171	-4.337113393
CFHR2	-0.406287323	-2.625437577	-1.835159712	0.071349142	0.615641171	-4.337292257
ACTBL2	0.32020974	-3.722519016	1.786333697	0.079005456	0.662767988	-4.415583513
COL6A3	-0.262926929	-4.962612947	-1.745790435	0.085872556	0.700905729	-4.479160182
IGJ	0.245618957	3.046628054	1.700040369	0.094207557	0.748702161	-4.549326747
F13A1	-0.199115714	-0.206441499	-1.6642551	0.10118083	0.76435934	-4.603037701
HV439	0.230237663	-2.266070919	1.65370898	0.10331448	0.76435934	-4.618669165
KV320.2	-0.268426448	-5.299189627	-1.646432893	0.104807809	0.76435934	-4.629401216
FETUB	0.188053512	0.077527844	1.630116699	0.108220376	0.76435934	-4.653310847
PON3	-0.186830278	-0.947936138	-1.612390253	0.112029454	0.76435934	-4.679041351
ATRN	0.116075549	-1.363484344	1.609599255	0.112638944	0.76435934	-4.683069209
HV307_2	0.225611947	2.228420387	1.597402685	0.11533389	0.76435934	-4.700596097
DSP	-0.232251776	-4.353606973	-1.592527254	0.116425595	0.76435934	-4.707568197
HPR	-0.254308221	1.722107934	-1.574612046	0.120508777	0.765466179	-4.733020383
C9	-0.155708901	2.064697701	-1.56963412	0.121663499	0.765466179	-4.740045737
KV116	0.374168118	-2.686069693	1.533762598	0.130248721	0.800580943	-4.790067548
HV333	0.313246253	-4.237583287	1.523858088	0.132702209	0.800580943	-4.803691788
DYNC1H1	-0.178103504	-2.839628364	-1.513932967	0.135197444	0.800580943	-4.817262823
CEP290	0.266459109	-5.015586794	1.496935257	0.139556892	0.810503488	-4.840314499
HV353	0.25725551	-1.510300105	1.484261163	0.142879028	0.814140875	-4.857346174
ECM1	-0.132497333	0.916877494	-1.460484848	0.149278708	0.818749879	-4.888935607
IGHM	0.279694643	4.898180453	1.454205151	0.151005852	0.818749879	-4.897199944
HV323	0.182852714	-0.738293908	1.426326806	0.158862381	0.818749879	-4.93348959
SERPINA3	-0.084349715	5.015704779	-1.416146002	0.16180925	0.818749879	-4.946579216
MAN2B2	0.213648829	-2.732161448	1.409969576	0.16361754	0.818749879	-4.954477784
KV320	0.208143891	-4.262164429	1.407377224	0.164381144	0.818749879	-4.957783363
ITIH3	-0.140297437	0.640293216	-1.402256369	0.165897624	0.818749879	-4.964296438
IGLC2	-0.248054609	-4.495594056	-1.3861318	0.170743194	0.818749879	-4.984660107
A2M	-0.119087837	7.939631144	-1.384422071	0.171263289	0.818749879	-4.986806423
IGHD	-0.94469034	-1.343863175	-1.380378945	0.17249803	0.818749879	-4.991872129
ADIPOQ	-0.266094978	-2.912628904	-1.377082082	0.173509908	0.818749879	-4.995992579
CP	-0.107481072	5.678619022	-1.344536615	0.183743947	0.830933759	-5.036173128
CNDP1	-0.213508725	-0.911833087	-1.343626242	0.184036669	0.830933759	-5.037284123
C3	0.081235361	8.560299288	1.338842226	0.185580741	0.830933759	-5.043110807
VCL	0.280333725	-3.885215568	1.326721455	0.189536717	0.830933759	-5.057785933
PFN1	0.276690301	-4.22834809	1.325772503	0.189849104	0.830933759	-5.058929577
AZGP1	-0.150970185	2.593859735	-1.310388751	0.194967658	0.835057538	-5.077362209
SERPINA6	-0.140618225	0.165188512	-1.306370762	0.196321474	0.835057538	-5.082143182
LV147	-0.171613996	-0.143172613	-1.282261931	0.204593172	0.858154692	-5.11053954
FLNA	0.267466731	-4.224051779	1.271113689	0.208504808	0.862581533	-5.123501679
HV102	-0.354023993	0.470236493	-1.257382599	0.213398697	0.86962148	-5.139319954
IGFBP3	0.144263986	-1.172497972	1.250273457	0.215965599	0.86962148	-5.147445892
APOM	-0.108830006	2.168124138	-1.222257426	0.226303184	0.899257389	-5.179044112
ACTA1	0.203827537	-4.182403289	1.191019603	0.238250945	0.915592784	-5.213474666
PZP	-0.317911394	0.13693223	-1.178405224	0.243202844	0.915592784	-5.227138088
COLEC11	-0.200635033	-4.283666778	-1.154055767	0.252970167	0.915592784	-5.253120505
MBL2	-0.342258506	-3.98967042	-1.151075699	0.254184536	0.915592784	-5.256264898
IGHA2	-0.360942426	0.913893768	-1.142148347	0.257847266	0.915592784	-5.265638071
F11	0.171256194	-1.761017594	1.126762178	0.264247652	0.915592784	-5.281628988
CFP	-0.149422945	-2.437375907	-1.12206842	0.266222338	0.915592784	-5.286465962
SERPING1	-0.2226287	3.572388005	-1.116483077	0.268585648	0.915592784	-5.29219656
NCAM1	0.230326116	-2.471935339	1.111137898	0.270861128	0.915592784	-5.297655123
ABCF1	-0.147409519	-2.249778365	-1.102405274	0.274607726	0.915592784	-5.306519025
CFHR5	0.160147862	-2.894642964	1.090401588	0.27981668	0.915592784	-5.318593797
FN1	0.136441306	6.402024703	1.08726918	0.281187226	0.915592784	-5.321723903
TPM4	0.262277948	-4.153100189	1.082656263	0.283214038	0.915592784	-5.326317705
KV133	-0.166635544	-2.956999214	-1.081371571	0.283780305	0.915592784	-5.327593739
LV151	0.219059419	-1.650955141	1.079833905	0.284459109	0.915592784	-5.32911913
LV657_2	0.279124296	-3.333672622	1.068399722	0.28954205	0.915592784	-5.340396676
SCP2	0.211942662	-3.230469605	1.062475774	0.292199981	0.915592784	-5.34619413
