Query,Match,HMDB,PubChem,KEGG,SMILES,Comment
HMDB31923,"10,20-Dihydroxyeicosanoic acid",HMDB0031923,14259007,NA,OCCCCCCCCCCC(O)CCCCCCCCC(O)=O,1
HMDB00872,Tetradecanedioic acid,HMDB0000872,13185,C11002,C(CCCCCCC(=O)O)CCCCCC(=O)O,1
HMDB00161,L-Alanine,HMDB0000161,5950,C00041,C[C@@H](C(=O)O)N,1
HMDB11532,MG(0:0/15:0/0:0),HMDB0011532,537297,NA,CCCCCCCCCCCCCCC(=O)OC(CO)CO,1
HMDB00714,Hippuric acid,HMDB0000714,464,C01586,C1=CC=C(C=C1)C(=O)NCC(=O)O,1
HMDB00152,Gentisic acid,HMDB0000152,3469,C00628,C1=CC(=C(C=C1O)C(=O)O)O,1
HMDB00671,Indolelactic acid,HMDB0000671,92904,C02043,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O,1
HMDB02203,3-Hydroxycapric acid,HMDB0002203,26612,NA,CCCCCCCC(CC(=O)O)O,1
HMDB00182,L-Lysine,HMDB0000182,5962,C00047,C(CCN)C[C@@H](C(=O)O)N,1
HMDB00222,L-Palmitoylcarnitine,HMDB0000222,11953816,C02990,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,1
HMDB02320,Imidazolelactic acid,HMDB0002320,459122,C05132,C1=CN(C=N1)CC(C(=O)O)O,1
HMDB0061116,NA,NA,NA,NA,NA,0
HMDB00289,Uric acid,HMDB0000289,1175,C00366,C12=C(NC(=O)N1)NC(=O)NC2=O,1
HMDB11621,Cinnamoylglycine,HMDB0011621,709625,NA,C1=CC=C(C=C1)/C=C/C(=O)NCC(=O)O,1
HMDB03073,Gamma-Linolenic acid,HMDB0003073,5280933,C06426,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,1
HMDB13324,2-Octenoylcarnitine,HMDB0013324,53481667,NA,CCCCC/C=C/C(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C,1
HMDB11753,Iminodiacetic acid,HMDB0011753,8897,C19911,C(C(=O)O)NCC(=O)O,1
HMDB00094,Citric acid,HMDB0000094,311,C00158,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1
HMDB0011635,p-Cresol sulfate,HMDB0011635,4615423,NA,CC1=CC=C(C=C1)OS(=O)(=O)O,1
HMDB03374,D-Ornithine,HMDB0003374,71082,C00515,C(C[C@H](C(=O)O)N)CN,1
HMDB13164,2-Hydroxylauroylcarnitine,HMDB0013164,53481640,NA,CCCCCCCCCCC(C(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O,1
HMDB00430,"24,25-Dihydroxyvitamin D",HMDB0000430,12895043,NA,C[C@H](CCC(C(C)(C)O)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@@H](CCC3=C)O)C,1
HMDB00623,Dodecanedioic acid,HMDB0000623,12736,C02678,C(CCCCCC(=O)O)CCCCC(=O)O,1
HMDB02329,Oxalic acid,HMDB0002329,971,C00209,C(=O)(C(=O)O)O,1
HMDB00148,L-Glutamic acid,HMDB0000148,33032,C00025,C(CC(=O)O)[C@@H](C(=O)O)N,1
HMDB00782,Octadecanedioic acid,HMDB0000782,70095,NA,C(CCCCCCCCC(=O)O)CCCCCCCC(=O)O,1
HMDB0000619,Cholic acid,HMDB0000619,221493,C00695,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,1
HMDB00562,Creatinine,HMDB0000562,588,C00791,CN1CC(=O)N=C1N,1
