SampleID	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y
nHILIC_104.0352_9.7	306603.3143	344503.32	358601.6526	252171.5333
nHILIC_105.0192_7.8	894491	1364306.907	753744.8526	1064829.433
nHILIC_111.0199_3.4	76684.72214	102951.3767	89191.81	73474.61111
nHILIC_114.0559_7.8	1352883.25	2941040.633	990158.9895	499252.7111
nHILIC_115.0399_2	12881142.86	11562359.4	12550589.16	11595756.44
nHILIC_116.0716_7.3	3252732	3572364.266	3771279	2615669.222
nHILIC_118.0509_8.9	1394726.143	2167983.133	1976376.96	1437827.122
nHILIC_120.0124_7.6	576949.2286	549889.88	743939.8211	570241.3
nHILIC_121.0505_3.5	201697.29	104730.2717	90088.21632	100430.5356
nHILIC_124.0073_8.7	2658236.714	2596439.4	2288021.213	1806698
nHILIC_128.0352_7.6	4577536.357	6962456.467	5922664.368	4580505.778
nHILIC_130.0509_8.8	137117.8707	266826.2907	120821.7655	165406.7889
nHILIC_130.0872_6.3	4406132.143	7130798.067	5587339.053	4030417.889
nHILIC_131.0349_5.1	230607.6	185634.4704	190400.3947	227023.6556
nHILIC_131.0461_9.7	107574.8207	126120.498	127676.2789	119517.1533
nHILIC_132.0302_8.3	90836.55571	152319.0113	71948.82158	142931.3011
nHILIC_133.0142_10.4	1102896.893	1584263.8	1189101.047	1291963.778
nHILIC_133.0506_2.3	248565.1414	71781.34369	16967.33074	479060.4678
nHILIC_133.0506_4.4	180296.095	125337.6377	46900.68211	134417.3233
nHILIC_135.0299_7.9	2034542.5	3109411.8	2084975.053	2020145.667
nHILIC_146.0458_7.6	648198.0357	886556.4533	690173.4105	558294.5
nHILIC_151.0261_4.3	898279.85	1058431.24	1009517.505	549329.7222
nHILIC_154.0621_9.6	1193440.5	1191117.507	1196940.784	1147900.111
nHILIC_157.0366_6.1	592589.21	1867415.453	1007448.526	30851801.85
nHILIC_160.0615_10.7	107745.2451	118004.0973	128627.6269	61700.59431
nHILIC_163.04_1.4	185168.5571	76506.48067	165488.2279	192703.1
nHILIC_167.0349_1.3	317535.2214	155510.5475	1629411.958	235379.8889
nHILIC_168.0276_10.3	43582.48936	42668.58725	76263.49528	24884.44937
nHILIC_168.0778_10.2	778014.2821	481916.32	253851.8579	511531.1222
nHILIC_174.056_3.8	345745.7571	560835.2632	265981.0105	362492.3333
nHILIC_174.0883_10.1	986715.4286	1107237.847	1052997.268	873896.3667
nHILIC_176.0387_4.9	133412.8143	172227.47	131074.5189	113583.5556
nHILIC_177.0339_6.7	916568.2714	913177.1867	801205.1684	1363450.111
nHILIC_179.0348_2.2	35481.8	117337.24	18076.53595	35744.44444
