HMDB	fold_change	pval	adj_pval
HMDB04666	-0.757601656	2.00E-05	0.005300147
HMDB11496	-1.33607843	3.28E-05	0.005300147
HMDB00705	0.212409034	0.000210067	0.022617214
HMDB11531	-0.683113832	0.000407027	0.02648354
HMDB02759	-0.327352756	0.000409962	0.02648354
HMDB00622	-0.795001386	0.000734361	0.03953308
HMDB11152	-1.089328627	0.000919217	0.042415293
HMDB12088	-0.331712063	0.001338078	0.054024879
HMDB00387	0.198056699	0.002875887	0.103212394
HMDB13325	0.603681959	0.003288098	0.106205551
HMDB11474	-0.484527565	0.006187459	0.157671564
HMDB10395	-0.395466904	0.006645599	0.157671564
HMDB11484	-0.590760567	0.007238977	0.157671564
HMDB00152	0.408762334	0.007245323	0.157671564
HMDB12881	0.12892416	0.007322209	0.157671564
HMDB61112	-0.312582824	0.00842313	0.161902756
HMDB00529	-0.720136208	0.008521198	0.161902756
HMDB02183	-0.115109238	0.016538729	0.280691028
HMDB11473	-1.099773307	0.017263479	0.280691028
HMDB01008	0.165129441	0.017380249	0.280691028
HMDB01008	-0.161461667	0.020757649	0.319272412
HMDB11490	-0.552672333	0.022268253	0.326230709
HMDB01015	0.289958576	0.024661732	0.326230709
HMDB0000895	0.14593479	0.026384324	0.326230709
HMDB00269	-0.15467735	0.027232243	0.326230709
HMDB13124	-0.35997499	0.027271199	0.326230709
HMDB13034	-0.198984871	0.027392106	0.326230709
HMDB13302	0.261871401	0.029587085	0.326230709
HMDB00421	0.144981571	0.030241915	0.326230709
HMDB11487	-0.269362009	0.033973193	0.326230709
HMDB12342	0.10382285	0.034321705	0.326230709
HMDB00267	0.157217869	0.034688982	0.326230709
HMDB00148	0.288148012	0.034957843	0.326230709
HMDB06695	0.172018465	0.035586676	0.326230709
HMDB10390	0.866763589	0.036123796	0.326230709
HMDB37844	0.162740065	0.036876426	0.326230709
HMDB00663	0.556265464	0.037370081	0.326230709
HMDB00651	0.261987351	0.044194735	0.375655246
HMDB01931	-0.424775781	0.048658691	0.397437714
HMDB29377	0.18582779	0.049218293	0.397437714
HMDB04193	0.245563002	0.052871425	0.416523663
HMDB02250	0.235499759	0.05602598	0.421164922
HMDB00782	-0.422082568	0.056068395	0.421164922
HMDB13164	0.091959088	0.057825195	0.424489502
HMDB31057	0.335745975	0.064678191	0.432608576
HMDB00097	-0.770575378	0.065385513	0.432608576
HMDB02013	0.242825392	0.065995881	0.432608576
HMDB02931	-0.288871687	0.066614044	0.432608576
HMDB06344	0.230379171	0.069385617	0.432608576
HMDB13240	0.200100787	0.070651259	0.432608576
HMDB00222	-0.448423574	0.070665965	0.432608576
HMDB00897	0.24344596	0.070676445	0.432608576
HMDB60061	0.159465204	0.070985308	0.432608576
HMDB00407	-0.213738458	0.072615656	0.433047174
HMDB00094	-0.101325008	0.074683723	0.433047174
HMDB11149	0.407578154	0.076203926	0.433047174
HMDB10393	0.849557486	0.07642009	0.433047174
HMDB00421	-0.115353469	0.079973554	0.445369966
HMDB00623	0.170974825	0.083978109	0.45974456
HMDB13464	0.381781031	0.086004597	0.462991414
HMDB00210	0.218944545	0.087595193	0.463823728
HMDB00462	0.441128696	0.089619927	0.466890912
HMDB00206	0.210636718	0.092467588	0.474079857
HMDB00161	0.203214262	0.094175026	0.475289585
HMDB00086	0.263349715	0.098673296	0.490330379
HMDB10351	-0.586095203	0.101278416	0.49565043
HMDB02212	-0.117940905	0.103877868	0.500784349
HMDB11756	0.193032604	0.105473671	0.500999938
HMDB13205	-0.098427896	0.107210904	0.501871335
HMDB11532	0.464125053	0.110449534	0.509645708
HMDB12096	-0.32400209	0.116251143	0.521295002
HMDB04827	0.623674184	0.117136118	0.521295002
HMDB06528	-0.233655224	0.119428115	0.521295002
HMDB00792	0.610057391	0.119429815	0.521295002
HMDB11475	0.392517849	0.121605784	0.523715577
HMDB11171	0.271939177	0.124825847	0.525126675
HMDB06322	0.095707298	0.126546804	0.525126675
HMDB41623	0.201493351	0.128328136	0.525126675
HMDB00123	0.256191118	0.129123534	0.525126675
HMDB10379	-0.139931904	0.130205378	0.525126675
HMDB0000491	0.256091471	0.132757253	0.525126675
HMDB00782	0.694394774	0.133313893	0.525126675
HMDB28783	0.13974171	0.136049405	0.529445276
HMDB00672	0.152717678	0.138838614	0.533867529
HMDB10383	-0.19771219	0.141673571	0.53835957
HMDB13122	0.202585618	0.146310119	0.549513585
HMDB00158	-0.166674099	0.149987824	0.556851348
HMDB00197	-0.142030374	0.153519604	0.561486453
HMDB02038	0.162687521	0.155071971	0.561486453
HMDB00277	-0.117455109	0.157033649	0.561486453
HMDB10397	0.581067953	0.158189682	0.561486453
HMDB06461	-0.375299731	0.161684547	0.567653357
HMDB00824	0.082687423	0.167868196	0.572047007
HMDB04702	0.081965856	0.170383397	0.572047007
HMDB02829	-0.43847958	0.171764182	0.572047007
HMDB00168	0.171676087	0.172623976	0.572047007
HMDB02000	-0.313713147	0.175370264	0.572047007
HMDB61693	-0.239786724	0.176609034	0.572047007
HMDB61690	-0.234056927	0.177315301	0.572047007
