""	"x"
"1"	"nHILIC_133.0506_4.4"
"2"	"nHILIC_133.0506_2.3"
"3"	"nHILIC_224.0617_4.8"
"4"	"nRPLC_201.1133_6.3"
"5"	"nRPLC_201.1133_5.9"
"6"	"nRPLC_187.1339_7.1"
"7"	"nRPLC_187.134_7.5"
"8"	"nRPLC_199.0976_5.6"
"9"	"nRPLC_215.1288_6.8"
"10"	"nRPLC_229.1445_7.4"
"11"	"nRPLC_215.1653_8.4"
"12"	"nRPLC_215.1652_8.1"
"13"	"nRPLC_257.176_8.5"
"14"	"nRPLC_257.1759_8.8"
"15"	"nRPLC_285.2072_9.6"
"16"	"nRPLC_285.2071_9.2"
"17"	"nRPLC_271.228_10.3"
"18"	"nRPLC_271.2279_9.6"
"19"	"nRPLC_313.2385_10.3"
"20"	"nRPLC_313.2386_9.1"
"21"	"nRPLC_313.2385_9.9"
"22"	"pHILIC_360.2736_6.1"
"23"	"nRPLC_343.2853_9.8"
"24"	"pHILIC_290.1593_10.7"
"25"	"pHILIC_290.1594_11"
"26"	"nRPLC_187.0976_5.4"
"27"	"pRPLC_312.1305_2.8"
"28"	"pHILIC_189.1596_18.3"
"29"	"nRPLC_131.0714_1.6"
"30"	"nHILIC_481.244_5.2"
"31"	"pHILIC_298.1139_4.7"
"32"	"pHILIC_170.0923_8.5"
"33"	"nHILIC_181.0367_6.8"
"34"	"nRPLC_165.0418_1.9"
"35"	"pHILIC_104.0705_8.1"
"36"	"nHILIC_188.0023_1.6"
"37"	"nRPLC_151.04_2.3"
"38"	"pRPLC_100.0756_1.2"
"39"	"nRPLC_239.0924_7.1"
"40"	"nHILIC_188.0716_2.1"
"41"	"nHILIC_212.0022_3"
"42"	"nRPLC_129.0558_1"
"43"	"nHILIC_168.0778_10.2"
"44"	"pHILIC_892.6501_5"
"45"	"nRPLC_149.0607_4.6"
"46"	"nHILIC_179.0348_2.2"
"47"	"nHILIC_130.0509_8.8"
"48"	"nHILIC_197.0679_1.4"
"49"	"nHILIC_197.0678_4.1"
"50"	"nHILIC_167.0349_1.3"
"51"	"nHILIC_257.0777_2.2"
"52"	"nHILIC_128.0352_7.6"
"53"	"nRPLC_429.3008_10.3"
"54"	"pRPLC_166.0724_1.2"
"55"	"nRPLC_295.2279_9.6"
"56"	"pHILIC_269.1239_8.3"
"57"	"pHILIC_146.1175_11"
"58"	"nHILIC_157.0366_6.1"
"59"	"pHILIC_178.0532_7.5"
"60"	"nHILIC_115.0399_2"
"61"	"pRPLC_265.1184_2.6"
"62"	"nHILIC_160.0615_10.7"
"63"	"nRPLC_465.2489_8.6"
"64"	"nRPLC_465.249_8.3"
"65"	"nRPLC_369.1741_9.5"
"66"	"nRPLC_369.1729_8.9"
"67"	"pHILIC_118.0861_7"
"68"	"pHILIC_160.0967_7.5"
"69"	"pHILIC_585.2694_4.9"
"70"	"pHILIC_583.2539_5.3"
"71"	"nHILIC_581.2411_5.9"
"72"	"nHILIC_87.045_4.2"
"73"	"pRPLC_316.2484_6.6"
"74"	"pRPLC_314.2328_6.1"
"75"	"pRPLC_312.2171_5.4"
"76"	"nRPLC_183.139_8.5"
"77"	"pRPLC_344.2796_7.8"
"78"	"pRPLC_342.2639_7.2"
"79"	"nRPLC_197.1547_9.1"
"80"	"nRPLC_197.1547_9"
"81"	"pHILIC_372.31_5.6"
"82"	"nRPLC_227.2017_10.2"
"83"	"pRPLC_370.2952_8.2"
"84"	"nRPLC_225.186_9.8"
"85"	"nRPLC_225.186_10"
"86"	"pRPLC_368.2795_7.7"
"87"	"pRPLC_352.2248_8.5"
"88"	"pHILIC_400.3413_5.6"
"89"	"nRPLC_253.2172_10.3"
"90"	"nRPLC_267.233_10.6"
"91"	"pRPLC_380.2561_9.4"
"92"	"pHILIC_428.3736_5.5"
"93"	"pRPLC_426.3576_9.5"
"94"	"nHILIC_281.2484_1"
"95"	"pRPLC_424.3421_9.2"
"96"	"nHILIC_279.2328_1"
"97"	"nHILIC_277.2171_1"
"98"	"nRPLC_275.2017_10"
"99"	"nRPLC_297.2799_11.7"
"100"	"nRPLC_297.2797_11.2"
"101"	"nRPLC_295.2642_11.1"
"102"	"nRPLC_311.2957_11.4"
"103"	"nRPLC_309.2801_11.4"
"104"	"nRPLC_307.2644_11"
"105"	"nRPLC_305.2486_10.7"
"106"	"nHILIC_303.2327_1"
"107"	"nRPLC_301.2173_10.3"
"108"	"nRPLC_335.2957_11.7"
"109"	"nRPLC_333.2799_11.2"
"110"	"nRPLC_331.2644_10.9"
"111"	"nRPLC_329.2487_10.7"
"112"	"nHILIC_327.2328_1"
"113"	"nRPLC_359.2957_11.5"
"114"	"nRPLC_357.2801_11.2"
"115"	"nRPLC_355.2643_10.9"
"116"	"pHILIC_218.1384_7.3"
"117"	"pHILIC_216.1227_7"
"118"	"pRPLC_232.1543_0.9"
"119"	"pRPLC_244.1544_1.7"
"120"	"pRPLC_260.1858_3.3"
"121"	"pHILIC_288.2161_5.8"
"122"	"pRPLC_288.2172_5.1"
"123"	"pRPLC_286.2015_4.3"
"124"	"pRPLC_195.0875_4.6"
"125"	"nHILIC_188.9862_0.9"
"126"	"nHILIC_512.2684_5.7"
"127"	"nRPLC_448.3069_9.4"
"128"	"nRPLC_448.3067_8.6"
"129"	"nRPLC_391.2856_9.8"
"130"	"nRPLC_391.2856_9.5"
"131"	"nRPLC_391.2856_9.2"
"132"	"nRPLC_407.2804_9.2"
"133"	"pHILIC_104.1069_6.6"
"134"	"nRPLC_204.0666_4.3"
"135"	"nHILIC_191.0197_11.2"
"136"	"nHILIC_174.0883_10.1"
"137"	"pHILIC_132.0766_9"
"138"	"pHILIC_114.0661_2.5"
"139"	"nHILIC_177.0339_6.7"
"140"	"nHILIC_425.0806_12.4"
"141"	"nRPLC_367.1585_8.9"
"142"	"nRPLC_367.1582_8.7"
"143"	"nRPLC_415.3217_11.4"
