Statistics results for Sun May 17 12:07:57 CEST 2020
Dataset: E:\combined LA results of meta log and prot.pgex
Pathway directory: E:\Internship + Thesis\PathVisio Tutorial\WikiPathways human pathways collection
Gene database: E:\Internship + Thesis\PathVisio Tutorial\Hs_Derby_Ensembl_91.bridge, C:\Users\sabde\OneDrive\Documents\UM documents\BMS Year 3\Internship + Thesis\Sabrina_BMS_Bachelor-Internship\Identifier Mapping Databases\Metabolite database\metabolites_20191025.bridge
Criterion:  [P.Value] < 0.05 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 412
Data points meeting criterion (R): 39

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
DNA Damage Response	1	1	77	100.00%	3.09	0.008
Heroin metabolism	1	1	8	100.00%	3.09	0.001
IL-1 signaling pathway	1	1	57	100.00%	3.09	0.008
Irinotecan Pathway	1	1	18	100.00%	3.09	0.002
miRNA Regulation of DNA Damage Response	1	1	106	100.00%	3.09	0.011
Signal transduction through IL1R	1	1	34	100.00%	3.09	0.002
Structural Pathway of Interleukin 1 (IL-1)	1	1	52	100.00%	3.09	0.007
22q11.2 Deletion Syndrome	2	5	134	40.00%	2.34	0.031
Ebola Virus Pathway on Host	2	5	141	40.00%	2.34	0.024
PPAR Alpha Pathway	2	5	28	40.00%	2.34	0.040
Senescence and Autophagy in Cancer	2	5	112	40.00%	2.34	0.032
Glycine Metabolism	1	2	19	50.00%	1.96	0.027
Molybdenum cofactor (Moco) biosynthesis	1	2	21	50.00%	1.96	0.023
Spinal Cord Injury	1	2	127	50.00%	1.96	0.050
Statin Pathway	3	12	50	25.00%	1.86	0.072
Nuclear Receptors Meta-Pathway	2	7	339	28.57%	1.74	0.059
PPAR signaling pathway	2	7	76	28.57%	1.74	0.094
Biochemical Pathways Part I	2	8	471	25.00%	1.51	0.084
Human metabolism overview	2	8	116	25.00%	1.51	0.074
Epithelial to mesenchymal transition in colorectal cancer	1	3	161	33.33%	1.42	0.080
Microglia Pathogen Phagocytosis Pathway	1	3	44	33.33%	1.42	0.081
Nucleotide Metabolism	1	3	37	33.33%	1.42	0.074
Purine metabolism	1	3	94	33.33%	1.42	0.096
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	1	3	37	33.33%	1.42	0.069
Vitamin B6-dependent and responsive disorders	1	3	29	33.33%	1.42	0.066
Alanine and aspartate metabolism	1	4	66	25.00%	1.07	0.120
Biomarkers for urea cycle disorders	1	4	51	25.00%	1.07	0.118
Joubert Syndrome	1	4	87	25.00%	1.07	0.145
Metabolism of alpha-linolenic acid	1	4	27	25.00%	1.07	0.050
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	1	5	305	20.00%	0.81	0.486
Inflammatory Response Pathway	1	5	34	20.00%	0.81	0.083
Primary Focal Segmental Glomerulosclerosis FSGS	1	5	77	20.00%	0.81	0.175
Allograft Rejection	2	13	113	15.38%	0.74	0.299
