Statistics results for Fri May 22 11:50:23 CEST 2020
Dataset: E:\combined DA results of meta MetaboDiff and prot.pgex
Pathway directory: E:\Internship + Thesis\PathVisio Tutorial\WikiPathways human pathways collection
Gene database: E:\Internship + Thesis\PathVisio Tutorial\Hs_Derby_Ensembl_91.bridge, C:\Users\sabde\OneDrive\Documents\UM documents\BMS Year 3\Internship + Thesis\Sabrina_BMS_Bachelor-Internship\Identifier Mapping Databases\Metabolite database\metabolites_20191025.bridge
Criterion:  [P.Value] < 0.05 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 412
Data points meeting criterion (R): 40

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Gastric acid production	1	1	22	100.00%	3.05	0.000
Heroin metabolism	1	1	8	100.00%	3.05	0.000
IL-1 signaling pathway	1	1	57	100.00%	3.05	0.009
Irinotecan Pathway	1	1	18	100.00%	3.05	0.000
Monoamine GPCRs	1	1	43	100.00%	3.05	0.007
Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS	1	1	46	100.00%	3.05	0.007
Phosphodiesterases in neuronal function	1	1	66	100.00%	3.05	0.010
Secretion of Hydrochloric Acid in Parietal Cells	1	1	15	100.00%	3.05	0.002
Signal transduction through IL1R	1	1	34	100.00%	3.05	0.003
Sphingolipid pathway	1	1	63	100.00%	3.05	0.007
Structural Pathway of Interleukin 1 (IL-1)	1	1	52	100.00%	3.05	0.004
Thermogenesis	1	1	140	100.00%	3.05	0.007
Vitamin D-sensitive calcium signaling in depression	1	1	55	100.00%	3.05	0.008
Ebola Virus Pathway on Host	2	5	141	40.00%	2.30	0.025
Phosphatidylcholine catabolism	2	5	32	40.00%	2.30	0.039
PPAR Alpha Pathway	2	5	28	40.00%	2.30	0.051
Senescence and Autophagy in Cancer	2	5	112	40.00%	2.30	0.035
Glutathione metabolism	2	6	57	33.33%	1.97	0.028
Calcium Regulation in the Cardiac Cell	1	2	167	50.00%	1.93	0.063
IL-10 Anti-inflammatory Signaling Pathway 	1	2	19	50.00%	1.93	0.029
Spinal Cord Injury	1	2	127	50.00%	1.93	0.049
Nuclear Receptors Meta-Pathway	2	7	339	28.57%	1.70	0.058
PPAR signaling pathway	2	7	76	28.57%	1.70	0.088
Biogenic Amine Synthesis	2	8	33	25.00%	1.47	0.068
Regulation of Actin Cytoskeleton	2	8	159	25.00%	1.47	0.080
Epithelial to mesenchymal transition in colorectal cancer	1	3	161	33.33%	1.39	0.097
Microglia Pathogen Phagocytosis Pathway	1	3	44	33.33%	1.39	0.072
NO/cGMP/PKG mediated Neuroprotection	1	3	64	33.33%	1.39	0.088
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways	2	9	182	22.22%	1.28	0.138
Acetylcholine Synthesis	1	4	18	25.00%	1.04	0.050
Biomarkers for urea cycle disorders	1	4	51	25.00%	1.04	0.103
Joubert Syndrome	1	4	87	25.00%	1.04	0.158
