Statistics results for Sun Apr 19 12:39:33 CEST 2020
Dataset: E:\metabolome_limma_analysis 5.pgex
Pathway directory: E:\Internship + Thesis\PathVisio Tutorial\WikiPathways human pathways collection
Gene database: E:\Internship + Thesis\PathVisio Tutorial\Hs_Derby_Ensembl_91.bridge, C:\Users\sabde\OneDrive\Documents\UM documents\BMS Year 3\Internship + Thesis\Sabrina_BMS_Bachelor-Internship\Identifier Mapping Databases\Metabolite database\metabolites_20191025.bridge
Criterion: ( [logFC]  < -1 OR  [logFC]  > 1) AND  [P.Value]  < 0.05 
Calculation method: pathway-centric. Calculations are performed after mapping data to pathways.
Total data points (N): 145
Data points meeting criterion (R): 16

Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
22q11.2 Deletion Syndrome	1	1	134	100.00%	2.84	0.013
Phosphodiesterases in neuronal function	1	1	66	100.00%	2.84	0.002
Statin Pathway	1	1	50	100.00%	2.84	0.002
Human metabolism overview	3	8	116	37.50%	2.45	0.045
Purine metabolism and related disorders	2	6	138	33.33%	1.77	0.044
Urea cycle and metabolism of amino groups	2	6	71	33.33%	1.77	0.043
Glycine Metabolism	1	2	19	50.00%	1.76	0.010
Molybdenum cofactor (Moco) biosynthesis	1	2	21	50.00%	1.76	0.021
Alanine and aspartate metabolism	1	3	66	33.33%	1.24	0.057
NO/cGMP/PKG mediated Neuroprotection	1	3	64	33.33%	1.24	0.066
Nucleotide Metabolism	1	3	37	33.33%	1.24	0.028
Purine metabolism	1	3	94	33.33%	1.24	0.075
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)	1	3	37	33.33%	1.24	0.034
Vitamin B6-dependent and responsive disorders	1	3	29	33.33%	1.24	0.021
Disorders of Folate Metabolism and Transport	1	4	46	25.00%	0.90	0.049
Metabolism of alpha-linolenic acid	1	4	27	25.00%	0.90	0.031
Glutathione metabolism	1	5	57	20.00%	0.65	0.057
Trans-sulfuration pathway	1	5	25	20.00%	0.65	0.018
Biogenic Amine Synthesis	1	7	33	14.29%	0.28	0.295
Biochemical Pathways Part I	1	8	471	12.50%	0.14	0.949
Omega-3/Omega-6 FA synthesis	1	10	53	10.00%	-0.11	0.419
Acrylamide Biotransformation and Exposure Biomarkers	0	1	10	0.00%	-0.35	0.006
Angiopoietin Like Protein 8 Regulatory Pathway	0	1	156	0.00%	-0.35	0.485
Biomarkers for urea cycle disorders	0	1	51	0.00%	-0.35	0.120
Blood clotting and drug effects	0	1	13	0.00%	-0.35	0.016
Calcium Regulation in the Cardiac Cell	0	1	167	0.00%	-0.35	0.509
Carnosine's role in muscle contraction	0	1	14	0.00%	-0.35	0.029
Chromosomal and microsatellite instability in colorectal cancer 	0	1	81	0.00%	-0.35	0.221
Computational Model of Aerobic Glycolysis	0	1	35	0.00%	-0.35	0.075
Differentiation Pathway	0	1	64	0.00%	-0.35	0.163
DNA Damage Response	0	1	77	0.00%	-0.35	0.204
Drug Induction of Bile Acid Pathway	0	1	45	0.00%	-0.35	0.106
Eicosanoid metabolism via Cyclo Oxygenases (COX)	0	1	70	0.00%	-0.35	0.186
Eicosanoid metabolism via Cytochrome P450 Mono-Oxygenases (CYP) pathway	0	1	23	0.00%	-0.35	0.048
Eicosanoid metabolism via Lipo Oxygenases (LOX)	0	1	70	0.00%	-0.35	0.170
Gastric acid production	0	1	22	0.00%	-0.35	0.044
Glucose Homeostasis	0	1	24	0.00%	-0.35	0.037
Glycerolipids and Glycerophospholipids	0	1	52	0.00%	-0.35	0.120
Glycolysis and Gluconeogenesis	0	1	69	0.00%	-0.35	0.193
miRNA Regulation of DNA Damage Response	0	1	106	0.00%	-0.35	0.303
Monoamine GPCRs	0	1	43	0.00%	-0.35	0.103
Monoamine Transport	0	1	47	0.00%	-0.35	0.128
NAD+ metabolism	0	1	34	0.00%	-0.35	0.073
Neurotransmitter Disorders	0	1	27	0.00%	-0.35	0.058
Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS	0	1	46	0.00%	-0.35	0.111
Ophthalmate biosynthesis in hepatocytes	0	1	10	0.00%	-0.35	0.012
Parkinsons Disease Pathway	0	1	84	0.00%	-0.35	0.236
Prostaglandin Synthesis and Regulation	0	1	61	0.00%	-0.35	0.169
Pyrimidine metabolism	0	1	140	0.00%	-0.35	0.414
Regucalcin in proximal tubule epithelial kidney cells	0	1	68	0.00%	-0.35	0.194
Regulation of Actin Cytoskeleton	0	1	159	0.00%	-0.35	0.488
Relationship between inflammation, COX-2 and EGFR	0	1	29	0.00%	-0.35	0.045
Secretion of Hydrochloric Acid in Parietal Cells	0	1	15	0.00%	-0.35	0.021
Sphingolipid pathway	0	1	63	0.00%	-0.35	0.168
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer	0	1	11	0.00%	-0.35	0.012
Thermogenesis	0	1	140	0.00%	-0.35	0.429
Thyroxine (Thyroid Hormone) Production	0	1	12	0.00%	-0.35	0.017
