System Code	Identifier	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ch	HMDB00187	-0.01150049	5.456094187	-0.548209921	0.585574301	0.83561653	-6.019278772
Ch	HMDB00139	-0.000281172	5.960966709	-0.01028207	0.991830226	0.998009854	-6.164997539
Ch	HMDB00300	-0.014347886	4.934908414	-0.869723295	0.387905055	0.742158562	-5.799593647
Ch	HMDB00162	0.039275257	5.973990497	1.130281476	0.262839295	0.680807951	-5.550563742
Ch	HMDB00019	-0.000558177	7.110400261	-0.032598089	0.974102896	0.988345303	-6.164532197
Ch	HMDB00883	0.015906831	6.568579562	0.744206038	0.459645963	0.784262094	-5.897000174
Ch	HMDB00167	0.023516625	6.231047662	1.372776118	0.174912674	0.577998062	-5.263266206
Ch	HMDB00574	0.017899563	5.767885454	0.901681959	0.370818022	0.742158562	-5.772432863
Ch	HMDB02994	-0.097429458	5.071420942	-1.466102796	0.147822701	0.574711985	-5.13878038
Ch	HMDB00251	-0.006883527	6.380295591	-0.364694156	0.716617295	0.891419253	-6.100444727
Ch	HMDB00267	0.037498636	6.796486664	0.979797317	0.331106052	0.738442029	-5.702042048
Ch	HMDB00725	0.041499934	5.212041262	1.217857382	0.228028436	0.618934327	-5.452898711
Ch	HMDB00172	0.022188527	6.739008752	1.043077302	0.301081759	0.720536112	-5.640877964
Ch	HMDB00622	-0.03797693	5.29515825	-1.519797593	0.133795078	0.568167727	-5.063717226
Ch	HMDB00168	-0.012367437	5.107599579	-0.778098192	0.439557555	0.769423296	-5.872159534
Ch	HMDB11753	-0.052756897	4.956963564	-2.341857023	0.022513122	0.344351676	-3.617525362
Ch	HMDB00156	-0.03075068	6.104682685	-1.368608265	0.176205791	0.577998062	-5.268647134
Ch	HMDB00421	-0.240422748	5.074046895	-1.930547496	0.058251382	0.475525885	-4.408807596
Ch	HMDB00421	-0.141393399	5.040518908	-1.888872446	0.063727131	0.475525885	-4.481602632
Ch	HMDB00943	-0.036458119	6.373355184	-1.663565956	0.101395223	0.526852841	-4.850544907
Ch	HMDB02931	0.017610723	5.841966373	1.376817932	0.173665607	0.577998062	-5.258033364
Ch	HMDB00292	0.047130633	6.007272118	1.825395382	0.072901209	0.475525885	-4.589777133
Ch	HMDB00177	-0.006431999	6.086766575	-0.540042212	0.591159489	0.83561653	-6.023579188
Ch	HMDB00462	0.023607851	6.005612218	0.356146662	0.722975423	0.891419253	-6.10343427
Ch	HMDB00510	0.076945411	5.05010513	1.873703793	0.06582555	0.475525885	-4.507750113
Ch	HMDB00205	0.00994262	5.205738458	0.274224426	0.78485063	0.900089489	-6.128503551
Ch	HMDB01868	-0.053879203	5.364462336	-0.634779061	0.5279769	0.805477693	-5.969778443
Ch	HMDB00148	0.071446383	4.76889186	1.721346933	0.090321785	0.500902503	-4.759939138
Ch	HMDB00479	-0.051419873	5.536372407	-0.506742304	0.614186095	0.838499139	-6.040450345
Ch	HMDB00197	-0.036514951	5.589511314	-0.873677463	0.38576463	0.742158562	-5.796284829
Ch	HMDB00904	-0.016408386	6.027899053	-0.668788957	0.506185799	0.789845474	-5.948376434
Ch	HMDB01015	-0.009004165	5.107845315	-0.449715337	0.654530281	0.85940358	-6.066869904
Ch	HMDB00078	-0.007739978	6.058835881	-0.28504005	0.776591459	0.900089489	-6.12556601
Ch	HMDB00707	-0.047160394	4.728954366	-0.737373408	0.463758699	0.784262094	-5.901876638
Ch	HMDB03099	0.062987631	5.950091057	0.916698878	0.362957017	0.742158562	-5.759341355
Ch	HMDB00755	-0.021253834	5.921098831	-0.749666472	0.456374289	0.784262094	-5.89307133
Ch	HMDB61116	-0.221168249	5.917151733	-2.799206105	0.006873117	0.15857262	-2.592763756
Ch	HMDB02302	-0.133296753	6.277949423	-1.387000268	0.170554132	0.577998062	-5.244786711
Ch	HMDB59724	-0.120885951	6.135604335	-0.945400117	0.348232534	0.740959715	-5.73373618
Ch	HMDB00094	-0.035506244	7.473445905	-2.29063007	0.025500575	0.355344967	-3.723080041
Ch	HMDB03072	0.000152208	5.988960392	0.001096796	0.999128509	0.999128509	-6.165048365
Ch	HMDB00625	-0.012004406	6.233902803	-0.319306235	0.750599315	0.900089489	-6.11551138
Ch	HMDB04400	0.047459969	6.093960891	0.515693999	0.607956299	0.83561653	-6.036019543
Ch	HMDB04400	0.005423837	6.223116116	0.074769758	0.940645724	0.967329921	-6.162330421
Ch	HMDB00671	-0.100618311	5.587091501	-3.566212048	0.000717053	0.03887457	-0.578627776
Ch	HMDB00663	-0.075141467	5.324153763	-1.619664441	0.110529916	0.526852841	-4.917506843
Ch	HMDB00682	0.032660864	7.316172376	0.653879474	0.515678665	0.793162898	-5.957894246
Ch	HMDB00114	0.008841477	5.642497027	0.528125676	0.599352909	0.83561653	-6.029738769
Ch	HMDB00210	-0.013065259	5.667530835	-0.249209995	0.804046381	0.908066367	-6.134863298
Ch	HMDB03818	0.072668712	6.294901507	0.967830102	0.337000165	0.738442029	-5.713193217
Ch	HMDB60485	-0.118756265	4.944653678	-1.428350114	0.158357172	0.574711985	-5.190056353
