System Code	Identifier	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ch	HMDB31923	-11419.3343	20772.1674	-4.286517314	6.87E-05	0.02217573	-4.595119197
Ch	HMDB00872	-105595.6073	214789.2928	-3.790934814	0.000357125	0.057675734	-4.59511932
Ch	HMDB00161	147423.8683	1015446.518	3.562412407	0.000738261	0.079486055	-4.595119376
Ch	HMDB11532	-14760.12081	56377.95161	-3.449903102	0.001046336	0.080219723	-4.595119403
Ch	HMDB00714	-296546.3516	681871.0519	-3.353508085	0.001403892	0.080219723	-4.595119426
Ch	HMDB00152	-36364.83496	62065.44194	-3.33376893	0.00149015	0.080219723	-4.59511943
Ch	HMDB00671	-84115.76138	400519.9293	-3.270565187	0.001801253	0.083114981	-4.595119445
Ch	HMDB02203	-50882.86349	170386.1852	-3.045240583	0.003481768	0.140576402	-4.595119498
Ch	HMDB00182	447917.6911	5191700.498	2.920233714	0.004959555	0.166520425	-4.595119526
Ch	HMDB00222	91572.63373	643314.553	2.860826169	0.005849517	0.166520425	-4.595119539
Ch	HMDB02320	-25064.84738	106796.2058	-2.857556826	0.005902542	0.166520425	-4.59511954
Ch	HMDB61116	-639443.2393	1078910.571	-2.840496863	0.006186517	0.166520425	-4.595119543
Ch	HMDB00289	4194058.242	36984349.68	2.738236962	0.008170071	0.202994845	-4.595119566
Ch	HMDB11621	-20996.03111	32287.89117	-2.710493359	0.008800998	0.203051601	-4.595119572
Ch	HMDB03073	142948.8006	424530.6369	2.553867219	0.013277898	0.275803916	-4.595119605
Ch	HMDB13324	171517.6128	670957.042	2.542785736	0.013662113	0.275803916	-4.595119607
Ch	HMDB11753	-12571.57782	92473.61358	-2.50936771	0.014882524	0.282767954	-4.595119614
Ch	HMDB00094	-2478730.281	30011678.72	-2.458975281	0.01690966	0.303434454	-4.595119624
Ch	HMDB0011635	-4972809.193	15462662.74	-2.360750096	0.021588457	0.336625257	-4.595119644
Ch	HMDB03374	195016.2225	2020690.096	2.359306187	0.021665117	0.336625257	-4.595119644
Ch	HMDB13164	155536.2593	262801.2958	2.354210435	0.021937604	0.336625257	-4.595119645
Ch	HMDB00430	-49086.48147	347658.102	-2.336152016	0.022928036	0.336625257	-4.595119649
Ch	HMDB00623	-58286.5769	124292.793	-2.247862118	0.028366112	0.385558931	-4.595119666
Ch	HMDB02329	-54248.87516	174355.1881	-2.243702816	0.028648342	0.385558931	-4.595119667
Ch	HMDB00148	12988.12511	62851.91295	2.191139167	0.032434578	0.419054745	-4.595119677
Ch	HMDB00782	-10572.57159	91736.83579	-2.104331558	0.039653592	0.480276279	-4.595119693
Ch	HMDB0000619	-249566.2578	346069.3406	-2.098917806	0.040146934	0.480276279	-4.595119694
Ch	HMDB00562	-6580988.594	80664064.8	-2.048183968	0.045035488	0.51951652	-4.595119703
Ch	HMDB00779	-11766.60201	62337.84155	-1.987781589	0.051519539	0.54914786	-4.595119714
Ch	HMDB11474	24885.99083	78465.21236	1.980665872	0.052333783	0.54914786	-4.595119715
Ch	HMDB11532	-5442.818255	15786.0278	-1.977456769	0.052704593	0.54914786	-4.595119715
Ch	HMDB12458	42671.08563	405042.3254	1.954013182	0.055482424	0.554777772	-4.59511972
Ch	HMDB01383	-8189.158474	43398.18163	-1.933879937	0.05796698	0.554777772	-4.595119723
Ch	HMDB06461	61466.80298	417422.2805	1.930465126	0.05839766	0.554777772	-4.595119724
Ch	HMDB60485	-45179.74386	117442.6439	-1.900456577	0.062300945	0.574948726	-4.595119729
Ch	HMDB00670	247792.4838	1448866.948	1.877422374	0.065445272	0.575905503	-4.595119733
Ch	HMDB00782	31153.45328	282950.6552	1.873665755	0.065970599	0.575905503	-4.595119733
Ch	HMDB00097	697332.9509	11635017.96	1.847117124	0.06978568	0.593178284	-4.595119738
Ch	HMDB00421	-51217.99533	139539.7815	-1.832358601	0.071985714	0.596189379	-4.59511974
Ch	HMDB00730	-377295.7734	982818.4984	-1.814700163	0.074694316	0.597597762	-4.595119743
Ch	HMDB60015	671734.8321	2135737.321	1.798095215	0.077318724	0.597597762	-4.595119746
Ch	HMDB03869	7175.581497	63378.46643	1.774674965	0.081150902	0.597597762	-4.595119749
Ch	HMDB60038	141311.9514	869097.0643	1.774221658	0.081226608	0.597597762	-4.59511975
Ch	HMDB11477	628982.6271	4573301.709	1.77087094	0.081788032	0.597597762	-4.59511975
Ch	HMDB00943	-212410.3688	2407129.241	-1.735472726	0.087918662	0.597597762	-4.595119756
Ch	HMDB29412	-460587.2364	785004.5613	-1.718655912	0.090961733	0.597597762	-4.595119758
Ch	HMDB01847	994317.5145	3818701.557	1.713757895	0.091864215	0.597597762	-4.595119759
Ch	HMDB0000518	138419.9714	482897.5623	1.711782128	0.092230342	0.597597762	-4.595119759
Ch	HMDB0000518	345167.0544	465038.7276	1.70358565	0.093762081	0.597597762	-4.595119761
Ch	HMDB00292	101096.2269	1043289.068	1.701629153	0.094130784	0.597597762	-4.595119761
Ch	HMDB00510	20973.63911	120313.3898	1.691932728	0.095975719	0.597597762	-4.595119762
Ch	HMDB06344	-174739.2653	846476.1065	-1.684005571	0.097505982	0.597597762	-4.595119764
Ch	HMDB00884	-93777.80343	1315278.483	-1.664952392	0.101265931	0.597597762	-4.595119767
Ch	HMDB05060	176610.247	1219216.118	1.653959572	0.103488608	0.597597762	-4.595119768
Ch	HMDB00269	22485.79736	264429.775	1.651993091	0.103890381	0.597597762	-4.595119769
Ch	HMDB02212	-40199.58348	190792.9322	-1.643938701	0.105549268	0.597597762	-4.59511977
Ch	HMDB00848	16731.15923	126970.5918	1.630722484	0.108317937	0.597597762	-4.595119772
Ch	HMDB00622	-18836.5804	202170.9034	-1.617780504	0.111086003	0.597597762	-4.595119774
Ch	HMDB00929	649800.7688	11944967.71	1.613805126	0.111947676	0.597597762	-4.595119774
Ch	HMDB00479	-118661.3932	447658.1045	-1.603014886	0.114313771	0.597597762	-4.595119776
Ch	HMDB11496	386918.779	2469983.755	1.602129203	0.114509764	0.597597762	-4.595119776
Ch	HMDB00517	1011988.385	17484937.45	1.592764517	0.11659872	0.597597762	-4.595119777
Ch	HMDB00421	-109961.1796	223199.6302	-1.589203274	0.117401132	0.597597762	-4.595119778
Ch	HMDB00673	524185.8335	3885609.033	1.582199801	0.118992105	0.597597762	-4.595119779
Ch	HMDB11531	-6613.072534	19336.67222	-1.569271367	0.121974549	0.597597762	-4.595119781
Ch	HMDB13622	57006.63047	376908.7081	1.568691289	0.122109759	0.597597762	-4.595119781
Ch	HMDB11484	29941.535	196372.2471	1.558598758	0.12448151	0.600112356	-4.595119782
Ch	HMDB00696	133694.7935	2073442.461	1.533630363	0.130507594	0.607591908	-4.595119786
Ch	HMDB00207	612050.3631	4673805.38	1.532833302	0.130703722	0.607591908	-4.595119786
Ch	HMDB00054	930608.2127	2428303.084	1.518659475	0.134230712	0.607591908	-4.595119788
Ch	HMDB02931	27501.69908	698513.3048	1.514499987	0.135279959	0.607591908	-4.595119789
Ch	HMDB31057	42067.42676	643841.6582	1.505388134	0.137601168	0.607591908	-4.59511979
Ch	HMDB10391	-36625.48734	243745.2669	-1.500230213	0.138929026	0.607591908	-4.595119791
Ch	HMDB00167	97334.44897	1720321.037	1.499180024	0.139200623	0.607591908	-4.595119791
Ch	HMDB61714	4369.180154	24218.42715	1.460118394	0.149603571	0.644292714	-4.595119796
Ch	HMDB33433	-334709.7654	678154.6109	-1.443934437	0.154088082	0.646624449	-4.595119798
Ch	HMDB13325	19929.6088	66194.49795	1.443587998	0.154185213	0.646624449	-4.595119798
Ch	HMDB00296	-1003132.43	16655944.09	-1.425602736	0.159293543	0.646624449	-4.595119801
Ch	HMDB10390	-11471.23533	76548.27459	-1.419909407	0.160937698	0.646624449	-4.595119802
Ch	HMDB03818	569236.7771	2422167.86	1.419249053	0.161129247	0.646624449	-4.595119802
Ch	HMDB00663	-39215.60075	229930.0001	-1.415717671	0.162156595	0.646624449	-4.595119802
Ch	HMDB00682	3560056.97	22695327.38	1.394611776	0.168402732	0.66081987	-4.595119805
Ch	HMDB11490	-14319.09655	135532.9332	-1.379104469	0.173108874	0.66081987	-4.595119807
Ch	HMDB02925	156145.1447	1587458.567	1.378469434	0.173303722	0.66081987	-4.595119807
Ch	HMDB11152	-17730.21364	132975.0206	-1.370936666	0.175627848	0.66081987	-4.595119808
Ch	HMDB02366	-2601.37144	10982.99271	-1.369911937	0.175945848	0.66081987	-4.595119808
Ch	HMDB10407	-95676.37484	1218864.88	-1.349172148	0.182476964	0.671283984	-4.595119811
Ch	HMDB02038	555856.8875	2205279.465	1.347884311	0.182888516	0.671283984	-4.595119811
Ch	HMDB60061	-14985.51772	151049.7129	-1.33974868	0.18550473	0.67294682	-4.595119812
Ch	HMDB0000243	704294.6829	5682328.823	1.33357654	0.187508402	0.67294682	-4.595119813
Ch	HMDB00156	-90258.24412	1297653.116	-1.318174047	0.192579961	0.683553049	-4.595119815
Ch	HMDB02994	-109079.5722	167536.541	-1.305216531	0.196925994	0.69138148	-4.595119816
Ch	HMDB04136	-109079.5722	167536.541	-1.305216531	0.196925994	0.69138148	-4.595119816
Ch	HMDB00824	366899.6257	2099216.466	1.295264653	0.200313625	0.693174509	-4.595119818
Ch	HMDB00791	1927661.91	4862097.912	1.291144589	0.201728804	0.693174509	-4.595119818
Ch	HMDB00888	-3368.566657	11718.41252	-1.268771992	0.209544193	0.70070442	-4.595119821
Ch	HMDB00725	17374.96042	170675.1913	1.255830203	0.214166643	0.70070442	-4.595119822
Ch	HMDB02829	-17391.34469	93361.65222	-1.253876866	0.214870824	0.70070442	-4.595119823
Ch	HMDB01539	90970.34662	2596276.425	1.250250814	0.216182557	0.70070442	-4.595119823
Ch	HMDB00792	-3437.460654	12523.11172	-1.24899826	0.216637043	0.70070442	-4.595119823
Ch	HMDB13331	84963.24504	340942.6377	1.240650129	0.219684167	0.70070442	-4.595119824
Ch	HMDB29159	-145476.2301	1794339.39	-1.236602752	0.221172795	0.70070442	-4.595119825
Ch	HMDB06695	-27152.31061	304574.2774	-1.236325389	0.22127508	0.70070442	-4.595119825
Ch	HMDB01032	756708.4052	4015907.465	1.227013091	0.224729454	0.704734113	-4.595119826
Ch	HMDB13205	178644.0826	591771.677	1.216648211	0.228620573	0.709526146	-4.595119827
Ch	HMDB00064	89201.72345	650232.2067	1.205227027	0.232964975	0.709526146	-4.595119828
Ch	HMDB12088	279033.0435	3218588.186	1.202563738	0.233986622	0.709526146	-4.595119829
Ch	HMDB06322	9113.693473	66188.09619	1.19738629	0.23598202	0.709526146	-4.595119829
Ch	HMDB10401	-34484.89787	219100.6854	-1.194136102	0.237240941	0.709526146	-4.59511983
Ch	HMDB02000	35485.35902	228031.4663	1.179551608	0.242949995	0.713311591	-4.595119831
Ch	HMDB00715	-2103.635966	18329.50918	-1.177498266	0.243761661	0.713311591	-4.595119831
Ch	HMDB05066	52144.19909	317261.4612	1.169062814	0.247116607	0.713311591	-4.595119832
Ch	HMDB61112	-2069261.004	7175989.715	-1.168503457	0.247340242	0.713311591	-4.595119833
Ch	HMDB01931	14391.38494	50639.46615	1.140996929	0.258517354	0.735309921	-4.595119836
Ch	HMDB10383	648048.6768	5882375.851	1.13497318	0.261012286	0.735309921	-4.595119836
Ch	HMDB59724	-1830465.729	3191715.35	-1.125206312	0.265093764	0.735309921	-4.595119837
Ch	HMDB02759	1398562.692	7819695.369	1.124438264	0.265416626	0.735309921	-4.595119837
Ch	HMDB01032	2618839.798	16687513.19	1.122220046	0.266350653	0.735309921	-4.595119838
Ch	HMDB02013	-29352.24328	276014.895	-1.08571157	0.282057249	0.763642271	-4.595119841
Ch	HMDB61690	66532.88304	651104.4588	1.072370906	0.287954336	0.763642271	-4.595119843
Ch	HMDB00305	54641.56738	760101.2928	1.067322784	0.290207893	0.763642271	-4.595119843
Ch	HMDB00774	37654.03135	198157.0006	1.063637649	0.291860662	0.763642271	-4.595119844
Ch	HMDB00001	-129199.9955	1912130.961	-1.059630072	0.293665396	0.763642271	-4.595119844
Ch	HMDB05065	34965.6579	577595.0461	1.058673966	0.294097093	0.763642271	-4.595119844
Ch	HMDB00656	-23858.83852	208739.292	-1.055185346	0.295675956	0.763642271	-4.595119845
Ch	HMDB12342	-6207.82689	26935.99688	-1.054707844	0.295892514	0.763642271	-4.595119845
Ch	HMDB03869	8132.113971	159590.9858	1.050311631	0.297891412	0.763642271	-4.595119845
Ch	HMDB00705	49507.10594	108705.1808	1.044209449	0.300681298	0.764724875	-4.595119846
Ch	HMDB00637	796283.3969	2748728.037	1.035467519	0.304709093	0.767778111	-4.595119847
Ch	HMDB11749	60967.20056	265107.1539	1.031313528	0.30663584	0.767778111	-4.595119847
Ch	HMDB00070	-204012.7801	1454206.591	-1.025876217	0.309170317	0.768169325	-4.595119848
Ch	HMDB11149	-25376.82828	208545.1427	-1.009153682	0.317053935	0.770992558	-4.595119849
Ch	HMDB01325	-148071.1643	1036108.176	-1.005391741	0.318845929	0.770992558	-4.59511985
Ch	HMDB02014	121873.4446	611998.8972	0.999787355	0.321528159	0.770992558	-4.59511985
Ch	HMDB03229	1040561.646	10702815.24	0.998859612	0.321973626	0.770992558	-4.59511985
Ch	HMDB00197	-50425.70789	420063.0143	-0.988281241	0.327082164	0.770992558	-4.595119851
Ch	HMDB31057	26475.67684	439410.6617	0.988105751	0.327167365	0.770992558	-4.595119851
Ch	HMDB00329	-10898.0357	69815.83598	-0.980439346	0.330903859	0.770992558	-4.595119852
Ch	HMDB00672	-4056.507623	64261.08162	-0.974277252	0.333927623	0.770992558	-4.595119853
Ch	HMDB13122	-42541.61468	673426.8715	-0.969267685	0.336399267	0.770992558	-4.595119853
Ch	HMDB00267	1631776.801	6963662.009	0.968485799	0.336786124	0.770992558	-4.595119853
Ch	HMDB04207	11795.69816	282251.1332	0.966537489	0.337751375	0.770992558	-4.595119853
Ch	HMDB29006	5115.985524	71262.06823	0.964122643	0.338950289	0.770992558	-4.595119854
Ch	HMDB00407	-98559.67369	738494.0048	-0.931208221	0.355570318	0.785074077	-4.595119857
Ch	HMDB02823	4976.706234	52369.03311	0.929204638	0.356598779	0.785074077	-4.595119857
Ch	HMDB00300	-3042.179837	86880.19592	-0.926215057	0.358136935	0.785074077	-4.595119857
Ch	HMDB61115	-1394355.061	2621663.107	-0.917542216	0.362623345	0.785074077	-4.595119858
Ch	HMDB00172	246763.076	5575696.502	0.917264246	0.362767731	0.785074077	-4.595119858
Ch	HMDB00687	246763.076	5575696.502	0.917264246	0.362767731	0.785074077	-4.595119858
Ch	HMDB00764	-22855.24093	84867.43717	-0.913052092	0.364960182	0.785074077	-4.595119858
Ch	HMDB02183	29892.45141	201766.3402	0.904827338	0.369265631	0.785074077	-4.595119859
Ch	HMDB00168	-4358.339963	129253.5249	-0.902613727	0.370429912	0.785074077	-4.595119859
Ch	HMDB10318	206095.8682	182685.2467	0.901772318	0.370873075	0.785074077	-4.595119859
Ch	HMDB61693	-4067.105948	27022.9539	-0.899957113	0.371830279	0.785074077	-4.595119859
Ch	HMDB0000746	-12585.22688	158492.3732	-0.894791823	0.374562657	0.785074077	-4.59511986
Ch	HMDB10351	6242.527035	64678.17963	0.89022294	0.376990128	0.785074077	-4.59511986
Ch	HMDB00123	-2366.488165	61607.62623	-0.886731827	0.378851666	0.785074077	-4.595119861
Ch	HMDB02000	245736.4809	1043341.098	0.881938861	0.381416816	0.785074077	-4.595119861
Ch	HMDB00301	12733.30957	167093.596	0.877142857	0.383994508	0.785074077	-4.595119861
Ch	HMDB00791	318870.4601	745682.5637	0.87257087	0.386461956	0.785074077	-4.595119862
Ch	HMDB00462	-872017.1213	1528246.154	-0.872444409	0.386530346	0.785074077	-4.595119862
Ch	HMDB10379	351196.9499	4268869.744	0.867511023	0.38920424	0.785074077	-4.595119862
Ch	HMDB00529	56581.99748	165913.1986	0.856126229	0.395418723	0.785074077	-4.595119863
Ch	HMDB00755	-45766.63378	858903.1782	-0.852942995	0.397167263	0.785074077	-4.595119863
Ch	HMDB29377	-308636.8192	1702466.522	-0.851534588	0.397942421	0.785074077	-4.595119864
Ch	HMDB12096	-41403.55695	332816.0262	-0.85031672	0.398613463	0.785074077	-4.595119864
Ch	HMDB04666	3926.853293	16875.18504	0.83948674	0.404611453	0.787746862	-4.595119865
Ch	HMDB13326	79578.60662	504975.683	0.837640436	0.405639494	0.787746862	-4.595119865
Ch	HMDB00529	21340.4692	188550.5826	0.834687436	0.407287077	0.787746862	-4.595119865
Ch	HMDB02759	93825.20983	775755.5392	0.822218193	0.414289125	0.791518725	-4.595119866
Ch	HMDB00574	23497.24738	594852.6518	0.818749418	0.416249914	0.791518725	-4.595119866
Ch	HMDB00024	-51654.10336	212875.3413	-0.818150904	0.416588803	0.791518725	-4.595119866
Ch	HMDB02231	91500.88832	1040582.328	0.811520066	0.420354451	0.794002852	-4.595119867
Ch	HMDB02250	89218.98311	447862.8718	0.803911441	0.424700559	0.797548142	-4.595119867
Ch	HMDB13240	-10386.26036	78872.66527	-0.785122037	0.435547953	0.799858939	-4.595119869
Ch	HMDB11553	2922.333955	25299.81616	0.779897946	0.438592784	0.799858939	-4.595119869
Ch	HMDB03331	14071.5081	531899.9303	0.77607206	0.440830619	0.799858939	-4.59511987
Ch	HMDB00177	-23861.60653	1226337.488	-0.767259578	0.446010676	0.799858939	-4.59511987
Ch	HMDB11494	17588.21094	259172.4341	0.761303473	0.44953178	0.799858939	-4.595119871
Ch	HMDB00637	115447.6194	369779.5057	0.760066244	0.450265223	0.799858939	-4.595119871
Ch	HMDB60484	22696.11363	37921.95332	0.759619216	0.450530397	0.799858939	-4.595119871
Ch	HMDB01563	2312.702018	56185.47682	0.758763378	0.451038327	0.799858939	-4.595119871
Ch	HMDB10382	3187406.418	102883850.1	0.75723919	0.451943739	0.799858939	-4.595119871
Ch	HMDB01008	126583.3972	1276779.87	0.754719181	0.453443007	0.799858939	-4.595119871
Ch	HMDB00784	5135.589469	118928.9746	0.754256198	0.453718769	0.799858939	-4.595119871
Ch	HMDB00874	290561.8691	831927.5526	0.748767812	0.456995151	0.799858939	-4.595119872
Ch	HMDB00904	-45879.66447	1090872.541	-0.740772442	0.461792431	0.799858939	-4.595119872
Ch	HMDB04827	-2072801.747	10549250.03	-0.738063256	0.463424482	0.799858939	-4.595119872
Ch	HMDB06528	193340.2577	2448193.416	0.737203881	0.46394287	0.799858939	-4.595119872
Ch	HMDB0001889	278562.6334	3073212.265	0.727546651	0.469790975	0.799858939	-4.595119873
Ch	HMDB00651	495183.4567	1648468.356	0.72224659	0.4730182	0.799858939	-4.595119874
Ch	HMDB00086	-256364.7878	1185231.152	-0.720210438	0.47426134	0.799858939	-4.595119874
Ch	HMDB00158	165302.542	4899020.657	0.718815494	0.475114063	0.799858939	-4.595119874
Ch	HMDB10393	207841.7644	3865798.052	0.715450994	0.477174313	0.799858939	-4.595119874
Ch	HMDB02302	3034527.028	4395583.384	0.714211972	0.477934289	0.799858939	-4.595119874
Ch	HMDB06695	-7519.563228	128365.5789	-0.708862851	0.481223047	0.801211568	-4.595119874
Ch	HMDB11487	162764.9247	3704877.41	0.699747933	0.486856103	0.802225896	-4.595119875
Ch	HMDB06246	2531.601104	37424.17802	0.696277928	0.489010148	0.802225896	-4.595119875
Ch	HMDB00772	2835.545425	43208.15477	0.695838527	0.489283286	0.802225896	-4.595119875
Ch	HMDB00190	735890.2198	23780146.53	0.689448256	0.493265084	0.80325072	-4.595119876
Ch	HMDB33592	40268.71061	133996.4023	0.679323507	0.49961013	0.80325072	-4.595119877
Ch	HMDB00707	-6617.341527	63069.00637	-0.677315871	0.50087355	0.80325072	-4.595119877
Ch	HMDB02226	63656.59879	1033602.788	0.677292885	0.500888025	0.80325072	-4.595119877
Ch	HMDB10357	29315.95369	549152.5418	0.674985008	0.502342556	0.80325072	-4.595119877
Ch	HMDB00162	68864.18473	994250.0425	0.668532106	0.506421603	0.805784126	-4.595119877
Ch	HMDB10384	1137868.481	29427006.91	0.662849425	0.510028517	0.807148654	-4.595119878
Ch	HMDB00251	-61267.76216	2429154.709	-0.653929711	0.515717729	0.807148654	-4.595119878
Ch	HMDB00883	121933.056	3766753.36	0.653724571	0.515848969	0.807148654	-4.595119878
Ch	HMDB00788	3865.211391	102302.7059	0.651497595	0.517274834	0.807148654	-4.595119878
Ch	HMDB00206	-2427.209144	96600.42971	-0.642920322	0.522786097	0.809676458	-4.595119879
Ch	HMDB00157	-227821.0261	4419357.38	-0.641179683	0.523908296	0.809676458	-4.595119879
Ch	HMDB29377	-175160.5782	1563966.387	-0.621468944	0.536703751	0.824853997	-4.59511988
Ch	HMDB11532	-1264.503275	22907.61293	-0.611344672	0.543338175	0.824853997	-4.595119881
Ch	HMDB10325	7617.99201	316698.6835	0.609123469	0.544799311	0.824853997	-4.595119881
Ch	HMDB11534	1922.706611	21267.85294	0.607811991	0.545662957	0.824853997	-4.595119881
Ch	HMDB33724	-6954.919277	122073.0092	-0.606545413	0.546497695	0.824853997	-4.595119881
Ch	HMDB00043	-1170967.093	42849878.27	-0.6024307	0.549213968	0.825098194	-4.595119881
Ch	HMDB13034	796.0742738	11562.55723	0.577379877	0.565896895	0.842825307	-4.595119883
Ch	HMDB00792	1785.468733	23040.5968	0.575567688	0.567113364	0.842825307	-4.595119883
Ch	HMDB00187	-7728.924766	290381.7643	-0.572490985	0.569181603	0.842825307	-4.595119883
Ch	HMDB00039	-3606.82444	104976.8444	-0.567459526	0.572571819	0.842825307	-4.595119883
Ch	HMDB01873	-3606.82444	104976.8444	-0.567459526	0.572571819	0.842825307	-4.595119883
Ch	HMDB04824	1073.566138	21958.73144	0.565254629	0.574060581	0.842825307	-4.595119884
Ch	HMDB10395	-650787.9113	16170110.27	-0.559893037	0.577688591	0.844314095	-4.595119884
Ch	HMDB03072	183360.385	1606099.887	0.549121329	0.585010727	0.851164255	-4.595119884
Ch	HMDB11131	-103129.0539	2586970.687	-0.541533407	0.590195087	0.854856561	-4.595119885
Ch	HMDB00772	-1560.064106	31020.80135	-0.532598355	0.59632754	0.859883015	-4.595119885
Ch	HMDB00806	65566.19793	1634500.713	0.526578967	0.60047558	0.860949714	-4.595119886
Ch	HMDB11482	23260.3779	582521.2439	0.52379545	0.602398252	0.860949714	-4.595119886
Ch	HMDB41623	-899.2730389	18222.68352	-0.519777572	0.605178547	0.861113086	-4.595119886
Ch	HMDB00159	-158288.9576	6614955.604	-0.49850788	0.61999401	0.878265249	-4.595119887
