"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"nRPLC_343.2853_9.8"	11419.3342963973	20772.1673991833	4.28651731402854	6.86555100397192e-05	0.0221757297428293	-4.59511919725499
"nRPLC_257.176_8.5"	105595.607283884	214789.2927605	3.79093481381347	0.000357125289403964	0.0576757342387402	-4.59511932009357
"nHILIC_88.0403_8.9"	-147423.868270536	1015446.51773833	-3.56241240732569	0.00073826057367022	0.0794860550984937	-4.59511937577322
"nRPLC_315.2541_9.4"	14760.1208135268	56377.9516143333	3.44990310231279	0.00104633589423374	0.0802197227132663	-4.59511940283123
"pRPLC_180.0654_2"	296546.351565179	681871.051928333	3.35350808508997	0.00140389220451069	0.0802197227132663	-4.59511942578882
"nRPLC_153.0193_2.1"	36364.834960625	62065.4419418333	3.33376893009702	0.00149014964792445	0.0802197227132663	-4.59511943046194
"nHILIC_204.0665_5.1"	84115.7613785714	400519.929251667	3.27056518679468	0.0018012534481308	0.0831149805351784	-4.5951194453567
"nRPLC_187.134_7.5"	50882.8634905357	170386.185244333	3.04524058282452	0.00348176848292179	0.140576402497967	-4.59511949751568
"pHILIC_147.1126_15.9"	-447917.691125	5191700.49776667	-2.92023371405798	0.00495955527386996	0.166520425228533	-4.59511952573146
"pHILIC_400.3413_5.6"	-91572.6337299107	643314.55295	-2.86082616908551	0.00584951710811867	0.166520425228533	-4.59511953893815
