""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"nRPLC_343.2853_9.8"	-11419.3342963973	20772.1673991833	-4.28651731402854	6.86555100397187e-05	0.0221757297428291	-4.59511919725499
"nRPLC_257.176_8.5"	-105595.607283884	214789.2927605	-3.79093481381347	0.000357125289403963	0.0576757342387399	-4.59511932009357
"nHILIC_88.0403_8.9"	147423.868270536	1015446.51773833	3.56241240732569	0.000738260573670225	0.0794860550984943	-4.59511937577322
"nRPLC_315.2541_9.4"	-14760.1208135268	56377.9516143333	-3.44990310231279	0.00104633589423375	0.0802197227132664	-4.59511940283123
"pRPLC_180.0654_2"	-296546.351565178	681871.051928333	-3.35350808508996	0.00140389220451069	0.0802197227132664	-4.59511942578881
"nRPLC_153.0193_2.1"	-36364.834960625	62065.4419418333	-3.33376893009702	0.00149014964792445	0.0802197227132664	-4.59511943046194
"nHILIC_204.0665_5.1"	-84115.7613785714	400519.929251667	-3.27056518679468	0.00180125344813081	0.0831149805351788	-4.5951194453567
"nRPLC_187.134_7.5"	-50882.8634905357	170386.185244333	-3.04524058282453	0.00348176848292178	0.140576402497967	-4.59511949751568
"pHILIC_147.1126_15.9"	447917.691125	5191700.49776667	2.92023371405798	0.00495955527386996	0.166520425228534	-4.59511952573146
"pHILIC_400.3413_5.6"	91572.6337299107	643314.55295	2.86082616908551	0.00584951710811869	0.166520425228534	-4.59511953893815
"pHILIC_157.0607_8.3"	-25064.8473750893	106796.205815667	-2.85755682610029	0.0059025424723806	0.166520425228534	-4.59511953966097
"nHILIC_188.0023_1.6"	-639443.239295089	1078910.571295	-2.84049686330159	0.00618651734595172	0.166520425228534	-4.59511954342589
"nHILIC_335.0495_8.3"	4194058.24218749	36984349.68	2.73823696202458	0.00817007115061695	0.202994844742252	-4.59511956574419
"nRPLC_204.0666_4.3"	-20996.031106625	32287.8911686333	-2.71049335900519	0.00880099820700283	0.203051601490137	-4.59511957172292
"nHILIC_277.2171_1"	142948.800553482	424530.636932333	2.55386721855757	0.0132778982017304	0.275803916247937	-4.59511960482271
"pRPLC_286.2015_4.3"	171517.612759821	670957.04201	2.54278573569021	0.0136621134983498	0.275803916247937	-4.59511960712068
"nHILIC_132.0302_8.3"	-12571.57781625	92473.613578	-2.50936771030044	0.014882523920592	0.282767954491248	-4.59511961401395
"nHILIC_191.0197_11.2"	-2478730.28142857	30011678.718	-2.45897528136935	0.0169096599775811	0.30343445404215	-4.5951196243025
"nRPLC_187.007_2.3"	-4972809.19308035	15462662.7371667	-2.36075009577901	0.0215884573598916	0.336625256886428	-4.59511964397675
"pHILIC_133.097_16.1"	195016.222504464	2020690.09596667	2.3593061871187	0.0216651167546071	0.336625256886428	-4.5951196442621
"pHILIC_360.2736_6.1"	155536.259321786	262801.295844	2.35421043542573	0.0219376041395689	0.336625256886428	-4.59511964526824
"nRPLC_415.3217_11.4"	-49086.4814741071	347658.101981667	-2.33615201584978	0.0229280360727598	0.336625256886428	-4.59511964882231
"nRPLC_229.1445_7.4"	-58286.576900625	124292.7930155	-2.24786211768556	0.0283661122493423	0.385558930511952	-4.59511966593533
"nHILIC_88.988_11"	-54248.875159375	174355.188131667	-2.24370281619587	0.0286483415860274	0.385558930511952	-4.59511966673052
"nHILIC_168.0276_10.3"	12988.1251102232	62851.9129495	2.19113916667947	0.0324345777963245	0.419054745128513	-4.59511967669234
"nRPLC_313.2386_9.1"	-10572.5715888839	91736.8357936667	-2.10433155796699	0.0396535921672517	0.480276278583581	-4.59511969278039
"nRPLC_407.2804_9.2"	-249566.25777	346069.340631	-2.09891780580057	0.0401469335038907	0.480276278583581	-4.59511969376836
"pHILIC_114.0661_2.5"	-6580988.59446428	80664064.7995	-2.04818396756407	0.0450354877723399	0.519516519659492	-4.59511970293708
"nRPLC_165.0556_2.3"	-11766.6020130803	62337.841551	-1.98778158933026	0.0515195386253843	0.549147860360015	-4.59511971363781
"nRPLC_450.2624_9.5"	24885.9908327678	78465.212362	1.98066587241826	0.0523337826752612	0.549147860360015	-4.59511971488272
"nRPLC_315.2539_9.7"	-5442.81825548214	15786.0278024333	-1.9774567692292	0.0527045934091656	0.549147860360015	-4.59511971544307
"nRPLC_429.3008_10.3"	42671.0856316964	405042.325433333	1.95401318202352	0.0554824237509071	0.554777771905545	-4.59511971951586
"pRPLC_382.2719_9.6"	-8189.15847419643	43398.1816323333	-1.93387993739496	0.0579669800857168	0.554777771905545	-4.59511972298425
"pRPLC_424.3421_9.2"	61466.8029803571	417422.280505	1.93046512611308	0.0583976602005837	0.554777771905545	-4.59511972356983
"nHILIC_235.0723_6.5"	-45179.7438567857	117442.643909	-1.90045657734798	0.0623009454985078	0.574948725600515	-4.59511972868171
"pHILIC_189.1345_14.4"	247792.483758928	1448866.94796667	1.87742237449822	0.0654452715074811	0.575905502557629	-4.59511973256379
"nRPLC_313.2385_10.3"	31153.4532790178	282950.6552	1.87366575482195	0.0659705993641866	0.575905502557629	-4.59511973319344
"pHILIC_104.1069_6.6"	697332.950910712	11635017.9618667	1.84711712410217	0.069785680458764	0.593178283899494	-4.59511973761543
"nHILIC_133.0506_4.4"	-51217.9953256696	139539.781491667	-1.83235860149422	0.0719857144774735	0.596189378877537	-4.59511974005235
"pHILIC_146.0811_7.5"	-377295.773357143	982818.498425	-1.81470016347514	0.0746943162627179	0.597597761593777	-4.59511974294797
"nRPLC_172.9914_0.9"	671734.832085267	2135737.32128	1.79809521526182	0.0773187243813194	0.597597761593777	-4.5951197456507
"pHILIC_276.1548_13.2"	7175.58149714285	63378.4664288333	1.77467496452048	0.0811509017742438	0.597597761593777	-4.59511974942926
"nRPLC_267.233_10.6"	141311.951368303	869097.064316667	1.77422165786302	0.081226607820284	0.597597761593777	-4.59511974950201
"pRPLC_478.2927_9.7"	628982.627124999	4573301.70938333	1.7708709400668	0.0817880315320262	0.597597761593777	-4.59511975003928
"nHILIC_135.0299_7.9"	-212410.36884375	2407129.2412	-1.73547272620503	0.0879186619419452	0.597597761593777	-4.59511975566553
"pHILIC_160.0967_7.5"	-460587.236394464	785004.561258667	-1.71865591163555	0.0909617332835741	0.597597761593777	-4.59511975830642
"pRPLC_195.0875_4.6"	994317.514484821	3818701.55706333	1.71375789549612	0.0918642150323386	0.597597761593777	-4.5951197590717
"nRPLC_391.2856_9.5"	138419.971391071	482897.562263333	1.71178212822335	0.09223034196192	0.597597761593777	-4.5951197593799
"nRPLC_391.2856_9.2"	345167.054443437	465038.727605667	1.70358564979296	0.0937620806854608	0.597597761593777	-4.59511976065538
"nHILIC_151.0261_4.3"	101096.226884821	1043289.06804333	1.70162915262031	0.0941307840518571	0.597597761593777	-4.5951197609591
"nHILIC_160.0615_10.7"	20973.6391066518	120313.389846167	1.69193272788689	0.0959757193681926	0.597597761593777	-4.59511976246018
"pRPLC_265.1184_2.6"	-174739.265300893	846476.106455	-1.68400557119959	0.0975059815673013	0.597597761593777	-4.59511976368217
"nHILIC_257.0777_2.2"	-93777.8034285715	1315278.48318333	-1.66495239194279	0.101265930971679	0.597597761593777	-4.5951197666001
"nRPLC_307.2644_11"	176610.247043303	1219216.11751	1.65395957228639	0.103488607762526	0.597597761593777	-4.59511976827123
"pHILIC_302.3046_1.8"	22485.7973647321	264429.775018333	1.65199309146467	0.103890381416713	0.597597761593777	-4.59511976856922
"nRPLC_311.2957_11.4"	-40199.5834833482	190792.9321915	-1.6439387013251	0.105549267724684	0.597597761593777	-4.5951197697867
"pHILIC_428.3736_5.5"	16731.159231875	126970.591813667	1.63072248386606	0.108317937231168	0.597597761593777	-4.59511977177377
"nHILIC_131.0349_5.1"	-18836.5804040179	202170.903366667	-1.61778050417823	0.111086002539535	0.597597761593777	-4.59511977370677
"pHILIC_205.0969_6.7"	649800.768776784	11944967.7098	1.61380512563472	0.111947676305402	0.597597761593777	-4.59511977429796
"nHILIC_168.0778_10.2"	-118661.393248928	447658.1045195	-1.6030148860147	0.114313770557517	0.597597761593777	-4.59511977589653
"pRPLC_526.2924_9.8"	386918.778991071	2469983.75545	1.60212920319358	0.114509763929862	0.597597761593777	-4.59511977602735
"pHILIC_175.1188_15.1"	1011988.38495535	17484937.449	1.59276451669068	0.116598719730523	0.597597761593777	-4.59511977740686
"nHILIC_133.0506_2.3"	-109961.179603348	223199.630184167	-1.58920327354338	0.117401131550921	0.597597761593777	-4.5951197779297
"nHILIC_279.2328_1"	524185.83349107	3885609.03293333	1.58219980097293	0.118992105430106	0.597597761593777	-4.59511977895504
"nRPLC_299.2228_9.3"	-6613.07253360714	19336.6722151833	-1.56927136734504	0.121974549167375	0.597597761593777	-4.59511978083788
"nRPLC_295.2642_11.1"	57006.6304656249	376908.708098333	1.56869128924028	0.122109759334951	0.597597761593777	-4.59511978092206
"pRPLC_504.3082_10"	29941.5349975892	196372.247052167	1.55859875764136	0.124481510426567	0.600112356235539	-4.59511978238243
"pHILIC_150.0581_7"	133694.793508929	2073442.4613	1.53363036310638	0.130507593909738	0.607591907705381	-4.59511978596118
"nHILIC_281.2484_1"	612050.363107143	4673805.37971667	1.53283330243412	0.130703722455456	0.607591907705381	-4.59511978607462
"pHILIC_585.2694_4.9"	930608.21273125	2428303.08369833	1.51865947548019	0.134230711913686	0.607591907705381	-4.59511978808355
"nHILIC_146.0458_7.6"	27501.6990848214	698513.304766667	1.51449998650541	0.135279958698669	0.607591907705381	-4.59511978867009
"nRPLC_271.228_10.3"	42067.4267553571	643841.658168333	1.50538813353573	0.137601168433231	0.607591907705381	-4.59511978995019
"pRPLC_550.3864_10.7"	-36625.4873410714	243745.26693	-1.50023021254601	0.138929025567279	0.607591907705381	-4.5951197906719
