"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"PLTP"	0.4584920954375	-1.77807462481667	3.71022840234624	0.000449204976286243	0.105102815186849	-0.102568708940934
"APOC4"	-0.623960649888393	-2.63339761133333	-3.57283002955003	0.000696045133687743	0.105102815186849	-0.481344707571636
"APOD"	0.292288546848214	3.1853089318	3.30585099406817	0.00158803082917787	0.142696930098054	-1.19129016048408
"PRG4"	-0.469836968986607	-2.62047491385	-3.24795346004178	0.00189002556421263	0.142696930098054	-1.34044030886886
"CFH"	-0.213652653857143	5.31218151445	-3.11539395440104	0.0027967953384325	0.168926438441323	-1.67511100807686
"SERPIND1"	-0.19787829528125	3.28841115881667	-2.95784196580146	0.00440030029546908	0.221481781538611	-2.06004204191809
"HP"	-0.388566877062499	7.02993550201667	-2.71617395588295	0.00857634702431266	0.298496011780406	-2.62179146544265
"BCHE"	-0.282616787566964	-1.23992649241667	-2.68579443721224	0.00930383765177303	0.298496011780406	-2.6898399778834
"F10"	-0.270514966165178	0.3490855008	-2.61347570758709	0.0112679778888109	0.298496011780406	-2.84944440050222
"PRG4.1"	-0.474751353428572	-2.06018738035	-2.60047709828067	0.0116586515576276	0.298496011780406	-2.87777166290313
