""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"PLTP"	-0.4584920954375	-1.77807462481667	-3.71022840234624	0.000449204976286245	0.105102815186849	-0.102568708940934
"APOC4"	0.623960649888392	-2.63339761133333	3.57283002955003	0.000696045133687744	0.105102815186849	-0.481344707571636
"APOD"	-0.292288546848214	3.1853089318	-3.30585099406817	0.00158803082917788	0.142696930098054	-1.19129016048409
"PRG4"	0.469836968986607	-2.62047491385	3.24795346004178	0.00189002556421264	0.142696930098054	-1.34044030886886
"CFH"	0.213652653857143	5.31218151445	3.11539395440104	0.00279679533843251	0.168926438441323	-1.67511100807686
"SERPIND1"	0.19787829528125	3.28841115881667	2.95784196580146	0.00440030029546911	0.221481781538612	-2.06004204191809
"HP"	0.388566877062499	7.02993550201667	2.71617395588294	0.00857634702431275	0.298496011780407	-2.62179146544265
"BCHE"	0.282616787566964	-1.23992649241667	2.68579443721224	0.00930383765177303	0.298496011780407	-2.6898399778834
"F10"	0.270514966165178	0.3490855008	2.61347570758709	0.0112679778888109	0.298496011780407	-2.84944440050222
"PRG4.1"	0.474751353428571	-2.06018738035	2.60047709828067	0.0116586515576277	0.298496011780407	-2.87777166290313
"APOA1"	-0.300608273482143	8.37327051308333	-2.59727229974089	0.011756845152074	0.298496011780407	-2.88473872903604
"APOF"	-0.268810957571428	-1.13015018021667	-2.56513397481152	0.0127839157479515	0.298496011780407	-2.95423224077383
"LRG1"	-0.245286637303571	3.07357149578333	-2.54364482079269	0.0135153532530453	0.298496011780407	-3.00031783040617
"VTN"	0.189583631508928	4.86459735456667	2.53451098282035	0.0138375634600188	0.298496011780407	-3.01981324961105
"SHBG"	-0.522259365986607	-1.22696145238333	-2.36492584845558	0.0212240008743748	0.427309884270745	-3.3715222105499
"NPHP3"	0.34662054215625	-3.67491633235	2.27351266485215	0.0265209625354625	0.500583167856854	-3.55284401594633
"IL1RAP.1"	-0.301883993883928	-4.77359021916667	-2.17840760777185	0.0332425927725181	0.560178264730174	-3.73516225415369
"BTD"	0.185816047223214	-2.23576340093333	2.17654308422862	0.0333881084938514	0.560178264730174	-3.73867113096948
"C1QB"	0.163770865325893	0.75630507915	2.12330789050745	0.0377850451278564	0.60058334887435	-3.83778109867286
"PCOLCE"	0.169790175441965	-5.1984824243	2.08607110450501	0.0411531110604893	0.608429731911281	-3.90586386415706
"C4A"	-0.401751568834821	-4.39025510145	-2.07391127035824	0.0423080277156851	0.608429731911281	-3.92787338167251
"LPA"	-1.07417761277232	-0.398896082883333	-2.00772329982472	0.0490991252488423	0.608712027675003	-4.04573144618181
"GSN"	-0.165977770741072	3.05207516095	-2.00091138463921	0.049848572097848	0.608712027675003	-4.05767363270377
"KNG1_2"	0.311470495107143	-4.89185099246667	1.99199813264555	0.0508440354164254	0.608712027675003	-4.07324658312668
"MASP1"	0.257895410772321	-2.2390173216	1.99197320472393	0.0508468432069756	0.608712027675003	-4.07329005180362
"PON1"	-0.191781136325892	3.51354226415	-1.97831262824783	0.0524056712567883	0.608712027675003	-4.09703992528908
"INHBC"	0.186973505544642	-5.5285333324	1.960668223663	0.0544795436194301	0.609363784187699	-4.12750545736435
"FCN3"	0.256166782169643	0.349937419216667	1.9163141688899	0.0600047699666505	0.615641170651386	-4.20303544676368
"C5"	0.0969337447276785	3.56103674061667	1.88374481851532	0.0643590040812831	0.615641170651386	-4.25753139656642
"HV169"	0.485969288330357	-4.44922261195	1.87946860196701	0.0649500779621983	0.615641170651386	-4.26462539807595
"IL1RAP"	-0.21207478759375	-4.87251005188333	-1.87501423861005	0.0655706486747614	0.615641170651386	-4.27199981681264
"PROS1"	0.139683132098214	1.98963447091667	1.84996656719446	0.0691542103818037	0.615641170651386	-4.31317956357157
"TYMP"	0.401840677441964	-3.55522653131667	1.84658182735688	0.0696508809272355	0.615641170651386	-4.31870668529795
"MGP"	0.203458758678571	-5.17259509521667	1.83526993620128	0.0713325891978041	0.615641170651386	-4.33711339323921
"CFHR2"	-0.406287322866071	-2.62543757676667	-1.83515971166688	0.0713491422940348	0.615641170651386	-4.33729225725373
"ACTBL2"	0.32020974021875	-3.72251901613333	1.78633369691982	0.0790054555345587	0.662767988095465	-4.41558351292256
"COL6A3"	-0.262926928888392	-4.96261294705	-1.74579043480786	0.0858725562554921	0.700905729436719	-4.47916018223524
"IGJ"	0.245618957495535	3.04662805411667	1.70004036892098	0.0942075567208027	0.748702161307432	-4.54932674715071
"F13A1"	-0.199115713696428	-0.206441499233333	-1.66425509999405	0.101180829631578	0.764359339584063	-4.60303770113649
"HV439"	0.230237663415178	-2.26607091908333	1.65370897999895	0.103314480256785	0.764359339584063	-4.61866916485454
"KV320.2"	-0.268426447973214	-5.29918962671667	-1.64643289259476	0.104807809382405	0.764359339584063	-4.62940121616449
"FETUB"	0.1880535120625	0.0775278439333333	1.63011669917942	0.108220375744231	0.764359339584063	-4.65331084654528
"PON3"	-0.186830278044643	-0.9479361376	-1.61239025292391	0.112029453686428	0.764359339584063	-4.6790413510731
"ATRN"	0.116075548919643	-1.36348434393333	1.60959925521313	0.112638944253633	0.764359339584063	-4.68306920910713
"HV307_2"	0.225611947357142	2.22842038731667	1.59740268532345	0.115333889583168	0.764359339584063	-4.7005960965414
"DSP"	-0.232251776205357	-4.35360697333333	-1.59252725358497	0.116425594771082	0.764359339584063	-4.70756819688666
"HPR"	-0.254308221392858	1.72210793423333	-1.57461204648529	0.120508776720133	0.76546617919988	-4.73302038295276
"C9"	-0.155708900517857	2.06469770095	-1.56963412014958	0.121663498680776	0.76546617919988	-4.74004573730376
"KV116"	0.374168118151786	-2.68606969303333	1.53376259762734	0.130248720807711	0.800580942652685	-4.79006754785081
"HV333"	0.313246253366071	-4.23758328696667	1.52385808760426	0.132702208571108	0.800580942652685	-4.80369178835691
"DYNC1H1"	-0.178103504138392	-2.83962836443333	-1.51393296733486	0.135197443957904	0.800580942652685	-4.81726282306838
"CEP290"	0.266459109205357	-5.01558679448333	1.49693525728444	0.139556891939347	0.81050348780159	-4.84031449913075
"HV353"	0.257255509629464	-1.51030010531667	1.4842611634114	0.142879027645492	0.814140874508274	-4.85734617352286
"ECM1"	-0.132497332825893	0.916877493683333	-1.46048484761425	0.149278707860287	0.818749878561189	-4.88893560689633
"IGHM"	0.279694642651785	4.89818045286667	1.45420515113698	0.151005851732424	0.818749878561189	-4.89719994367398
"HV323"	0.18285271415625	-0.73829390795	1.42632680637876	0.158862381017171	0.818749878561189	-4.93348959009846
"SERPINA3"	-0.0843497150446436	5.01570477866667	-1.41614600159295	0.161809250228345	0.818749878561189	-4.94657921574376
"MAN2B2"	0.213648828745536	-2.73216144846667	1.40996957582949	0.16361753963091	0.818749878561189	-4.95447778394163
"KV320"	0.208143891459821	-4.26216442923333	1.40737722365229	0.164381144027866	0.818749878561189	-4.95778336326027
"ITIH3"	-0.140297437392857	0.64029321595	-1.40225636941072	0.165897624372961	0.818749878561189	-4.96429643754007
"IGLC2"	-0.248054609491071	-4.49559405605	-1.38613180049901	0.170743194355851	0.818749878561189	-4.98466010710381
"A2M"	-0.11908783728125	7.93963114403333	-1.38442207085932	0.171263288787217	0.818749878561189	-4.98680642301176
"IGHD"	-0.944690339651786	-1.3438631746	-1.38037894469902	0.172498029879157	0.818749878561189	-4.99187212940168
"ADIPOQ"	-0.26609497821875	-2.91262890396667	-1.37708208160259	0.173509908039457	0.818749878561189	-4.9959925788203
"CP"	-0.107481072375	5.6786190224	-1.34453661454498	0.18374394717619	0.830933758714757	-5.03617312820673
"CNDP1"	-0.213508724745535	-0.9118330869	-1.34362624177385	0.184036668913022	0.830933758714757	-5.0372841230672
"C3"	0.0812353608214278	8.56029928795	1.33884222577795	0.185580741484675	0.830933758714757	-5.04311080659397
