	ZJTKAE3	ZJXC41N	ZK112BX	ZK4CK8Y
IGLL5	2.261963225	3.562824533	2.603470526	2.015590889
MASP2	-4.226984917	-3.7263704	-3.245311105	-3.885288
APOL1	1.78939125	2.495736133	2.478385579	2.700453
CEP290	-4.61460425	-5.085657467	-4.141790211	-6.243706889
CD5L	-0.638960988	-0.045558368	-0.456636803	-0.6518707
FCN3	0.528030825	0.230315471	0.731993174	0.25128179
ATRN	-1.435441158	-0.975615313	-1.161746126	-1.430852667
ATRN.1	-2.169743833	-1.858262067	-1.864769563	-2.173226667
APOM	2.654103417	2.013421067	1.952606211	2.539497556
CP	5.704710833	6.0842266	5.721449158	6.325775889
F13A1	-0.281425442	-0.23284324	-0.943621726	0.144789313
F2	4.742463167	4.6995978	4.926873368	4.790241667
C1R	1.914331417	1.9032366	1.993798526	1.950675667
HP	7.068378417	6.9635768	6.490978421	6.679884556
HPR	0.701195028	2.7767708	1.802106847	1.985501111
F9	-1.794458108	-2.068959587	-1.132594368	-1.246147711
F10	0.51755994	-0.263815586	0.152238796	0.795247211
CFD	-3.0628177	-3.1959492	-4.947998947	-3.704474444
PLG	4.94484275	4.9857228	4.892523789	5.091063444
F12	1.703798333	0.425704179	1.651578947	2.385233667
CFB	5.214305417	5.1494734	5.099649	4.542518222
CA1	-3.482589333	-3.336737467	-2.995174316	-2.921114333
ASS1	-5.602851	-4.315769267	-3.387791947	-3.788607444
SERPINC1	4.962535917	5.058337133	5.013027526	4.786175667
SERPINA1	7.985659583	7.9034508	7.924703842	7.997732778
SERPINA3	4.821322917	5.4165372	4.959116105	4.737254333
AGT	2.9695065	3.2234356	3.420536211	4.566815667
A2M	8.74414525	8.1105998	8.400209211	8.077925333
C3	8.64571725	8.483747267	8.468139842	8.231104889
C5	3.660848333	3.511537933	3.448446368	3.565843667
CST3	-2.104906758	-2.702496933	-2.552622105	-2.667312111
KNG1	3.215361417	2.844759107	3.022090868	3.363253556
KNG1_2	-4.514875417	-4.585182767	-5.083152684	-4.661050889
IGF2	-3.400911667	-3.103440933	-3.316360211	-3.184346556
IGJ	3.71524575	3.938876	3.402532684	2.856232444
KVD33	-2.302256417	-2.559501533	-2.652698737	-2.842399889
KV133	-2.6713535	-1.949627267	-2.567811053	-3.241451556
KVD16	-1.457524967	-1.524717427	-1.150525737	-1.520302444
KVD33_2	-1.84651595	-1.7611392	-1.850660911	-2.467572667
KVD33_3	-3.366844333	-3.940505467	-3.988241947	-3.329396333
KV139	-3.302130917	-3.845738	-4.406403368	-4.488637333
KVD33_4	-0.373362677	-0.665514413	-0.502395453	-0.801310289
KVD28	-4.4598355	-4.6136974	-4.709286368	-4.828821778
KV320	-4.378999083	-3.683649267	-4.221632579	-3.825720556
KV320_2	1.76308675	1.33883292	1.173561095	1.191788789
LV144	-0.712984858	-2.025434	-0.787068168	-1.421539667
LV147	0.224748837	0.532954664	-0.52474952	-0.058271388
LV140	-3.516865583	-3.5235186	-3.418747474	-3.841027889
LV211	-4.63574	-3.570094	-4.985467947	-4.445353556
LV319	1.022800417	0.793294787	1.360046847	0.539738956
LV325	2.152766583	3.058589667	1.882407105	1.565610222
